"","wikidata_name","wikidata_id","icb","imi","mids","mip","mips","prio","rand","allen","horowitz","MONSTr"
"1","Operation Sky Monitor","Q1000306","0","0","0","0","0","0","0","0","0",1
"2","War in Somalia (2009–)","Q1052332","0","0","0","0","0","0","0","0","0",1
"3","February 2021 United States airstrike in Syria","Q105707091","0","0","0","0","0","0","0","0","0",1
"4","War in Somalia (2006-2009)","Q1072042","0","0","0","0","0","0","0","0","0",1
"5","June 2021 United States airstrike in Syria","Q107504334","0","0","0","0","0","0","0","0","0",1
"6","2009 Baraawe raid","Q10751263","0","0","0","0","0","0","0","0","0",1
"7","2003 invasion of Iraq","Q107802","0","0","1","0","0","0","0","0","0",1
"8","NATO intervention in Bosnia and Herzegovina","Q1091051","0","0","0","1","0","0","0","0","0",1
"9","Operation Cobra's Anger","Q1128855","0","0","0","0","0","0","0","0","0",1
"10","Granai airstrike","Q1136783","0","0","0","0","0","0","0","0","0",1
"11","Iraqi Kurdish Civil War","Q1154912","0","0","0","0","0","0","0","0","1",1
"12","Operation Bull Run","Q11798527","0","0","0","0","0","0","0","0","0",1
"13","Operation Enduring Freedom – Horn of Africa","Q1195810","0","0","0","1","0","0","0","0","0",1
"14","Moro conflict","Q1225409","0","0","0","0","0","0","0","0","0",1
"15","Miramshah airstrike","Q12327344","0","0","0","0","0","0","0","0","0",1
"16","Operation Halmazag","Q1234017","0","0","0","0","0","0","0","0","0",1
"17","drone attacks in Pakistan","Q1260080","0","0","1","1","0","0","0","0","0",1
"18","drone strikes in Pakistan","Q1260080","0","0","1","1","0","0","0","0","0",1
"19","Counterinsurgency in Northern Afghanistan","Q1312389","0","0","0","0","0","0","0","0","0",1
"20","Bombing of Iraq","Q1327861","0","0","0","0","0","0","1","0","0",1
"21","Dhusamareb airstrike","Q1328419","0","0","0","0","0","0","0","0","0",1
"22","Second Battle of Fallujah","Q1330136","0","0","0","0","0","0","0","0","0",1
"23","Gulf War","Q13408125","0","0","0","0","0","0","0","1","0",1
"24","Gulf War","Q13408125","0","0","0","0","0","0","0","0","1",1
"25","Operation Red Dagger","Q1379863","0","0","0","0","0","0","0","0","0",1
"26","Battle of 73 Easting","Q1402530","0","0","0","0","0","0","0","0","0",1
"27","Iraq disarmament crisis","Q1433190","0","0","1","0","0","0","1","0","0",1
"28","Bangui Agreements","Q14646592","0","1","0","0","0","0","0","0","0",1
"29","Operation Eagle Eye","Q1466872","0","0","0","0","0","0","0","0","0",1
"30","Operation Anaconda","Q1476042","0","0","0","0","0","0","0","0","0",1
"31","First Liberian Civil War","Q1477500","0","0","0","0","0","0","1","0","0",1
"32","Battle of Chora","Q1485258","0","0","0","0","0","0","0","0","0",1
"33","Chechen–Russian conflict","Q14947002","0","0","0","0","0","0","0","0","0",1
"34","2013 Syrian Kurdish–Islamist conflict","Q15109939","0","0","0","0","0","0","0","0","0",1
"35","Operation Harekate Yolo","Q1511923","0","0","0","0","0","0","0","0","0",1
"36","Operation Karez","Q1518797","0","0","0","0","0","0","0","0","0",1
"37","War in Afghanistan","Q1519107","0","0","0","0","0","0","0","1","0",1
"38","September 2012 raid on Camp Bastion","Q15276208","0","0","0","0","0","0","0","0","0",1
"39","1999 East Timorese crisis","Q152848","0","0","0","1","0","0","0","0","0",1
"40","Islamic Front–Free Syrian Army conflict","Q15303938","0","0","0","0","0","0","0","0","0",1
"41","First Battle of Fallujah","Q1537159","0","0","0","0","0","0","0","0","0",1
"42","International Security Assistance Force","Q155654","0","1","0","0","0","0","1","0","0",1
"43","NATO bombing of Yugoslavia","Q155723","0","0","1","1","0","0","1","0","0",1
"44","Islamist insurgency in Nigeria","Q1569328","0","0","0","1","0","0","1","0","0",1
"45","Boko Haram insurgency","Q1569328","0","0","0","1","0","0","1","0","0",1
"46","Operation Cyclone","Q1585785","0","0","0","0","0","0","0","0","0",1
"47","Yemeni Crisis","Q15946570","0","0","0","0","0","0","0","0","0",1
"48","Kosovo Force","Q159470","0","0","0","1","0","0","1","0","0",1
"49","Operation Deliberate Force","Q160774","0","0","0","0","0","0","0","0","0",1
"50","Civil conflict in the Philippines","Q16146546","0","0","0","0","0","0","0","0","0",1
"51","Operation Achilles","Q1616794","0","0","0","0","0","0","0","0","0",1
"52","Operation Desert Shield","Q16208641","0","0","0","0","0","0","0","0","0",1
