"","wikidata_name","wikidata_id","parent_name","parent_id","parent_icb","parent_imi","parent_mids","parent_mip","parent_mips","parent_rand","parent_start","means_drones","means_airtoair","means_cruisemissiles","means_aerialbombing","means_closeairsupport","means_groundtroops","means_paramilitary","lat","lon","year","start_date","end_date","duration","daysinto_parent","allycount1","multilateral1","casualties_sideA","casualties_sideB","casualties_civilian","casualties_us","sideB_state_count","sideB_nonstate_all_count","sideB_nonstate_major_count","sideB_nonstate_minor_count","sideB_state_ratio","sideB_statenonstate_ordinal","sideB_state_binary","sideB_nonstate_all_binary","sideB_nonstate_major_binary","sideB_nonstate_minor_binary","start_date_month","month","yearmonth","presidentid","approve","disapprove","difference","approveL1","approve_detrend","appch","appchpc","disappch","disappchpc","demparty","term2","misery","miseryL1","elecmonth","elecyear","reelecyear","tenure","firstyear","disapproveL1","TOTL_hostile","TOTL_all","TOTL_hostileL1","TOTL_allL1","TOTL_hostileL2","TOTL_allL2","TOTL_hostile_chg","TOTL_all_chg","urban","forested","mountainous","urban_binary"
"1","1989 Philippine coup attempt","Q4585384","1989 Philippine coup attempt","Q4585384",NA,"US aids Phillippine government after coup attempt (AP, UPI, Xinh)",NA,"Philippines Coup Attempt",NA,NA,1989-12-01,0,1,0,0,0,1,0,14.5938892364502,120.994445800781,1989,1989-12-01,"1989-12-09",8,0,1,"1",NA,NA,NA,NA,1,1,0,1,0.5,"1","1","1","0","1","1989-12","12",198912,"George Bush",68.5,17.5,51,66,6.7524481,2.5,3.7878788,-2,-10.256411,"0",0,10.047302,10.055028,0,0,0,12,1,19.5,0,0,0,0,0,0,0,0,"2","0","0","1"
"2","Operation Uphold Democracy","Q2026486","1991 Haitian coup d'état","Q4586873","HAITI MIL. REGIME","US restores democratically elected government in Haiti  (UPI, AP)","4016","Operation Uphold Democracy","Operation Uphold Democracy","Operation Uphold Democracy",1991-09-29,0,0,0,0,0,1,1,18.971187,-72.285215,1994,1994-09-19,"1995-03-31",193,1086,2,"1",1,301,NA,1,1,0,0,0,1,"2","1","0","0","0","1994-09","09",199409,"William J. Clinton",41.333332,51.333332,-10,41,-17.139242,0.33333206,0.81300503,1.8333321,3.703701,"1",0,8.8634653,8.9005508,0,0,0,21,0,49.5,0,0,0,0,0,0,0,0,"1","0","1","0"
"3","Operation Secure Tomorrow","Q7097528","2004 Haitian coup d'état","Q2883469",NA,"US aids in restoring order in Haiti (AP, AFP)",NA,"Operation Secure Tomorrow",NA,"Operation Secure Tomorrow",2004-02-05,0,0,0,0,0,1,1,18.594395,-72.3074326,2004,2004-02-29,"2004-07-01",123,24,3,"1",0,NA,NA,0,0,1,0,1,0,"0","0","1","0","1","2004-02","02",200402,"George W. Bush",51.333332,44.666668,6.6666641,55.5,1.200008,-4.1666679,-7.5075097,4.4166679,10.973088,"0",0,7.2930589,7.6262522,0,1,1,38,0,40.25,13,23,39,55,24,41,-15,-14,"0","0","1","0"
"4","2017 al-Jinah airstrike","Q28983702","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve",2011-03-15,1,0,0,1,0,0,0,36.1078987121582,36.7869987487793,2017,2017-03-16,"2017-03-16",0,2193,0,"0",NA,NA,NA,NA,1,1,1,0,0.5,"1","1","1","1","0","2017-03","03",201703,"Donald Trump",39.75,55,15.25,41.5,-2.3087161,-1.75,-4.22,2.25,4.265402844,"0",0,6.88,7.44,0,0,0,2,1,52.75,0,5,0,1,1,3,1,2,"1","0","1","0"
"5","2017 Shayrat missile strike","Q29197866","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve",2011-03-15,0,0,1,0,0,0,0,34.4941673278809,36.9111099243164,2017,2017-05-07,"2017-05-07",0,2245,0,"0",NA,NA,"2",NA,1,0,0,0,1,"2","1","0","0","0","2017-05","05",201705,"Donald Trump",39.4,55,15.6,40.5,-2.6276345,-1.1,-2.72,1.75,3.286384977,"0",0,6.17,6.6,0,0,0,4,1,53.25,1,2,4,6,0,5,-4,-1,"2","0","1","1"
"6","2018 missile strikes against Syria","Q51844684","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve",2011-03-15,0,0,1,0,0,0,0,34.802075,38.996815,2018,2018-04-12,"2018-04-12",0,2585,2,"1",NA,NA,NA,NA,1,0,0,0,1,"2","1","0","0","0","2018-04","04",201804,"Donald Trump",40.4,54.2,13.8,39.25,-0.08918117,1.15,2.93,-1.3,-2.342342342,"0",0,6.36,6.46,0,0,0,15,1,55.5,1,2,0,10,0,1,0,-9,"0","0","1","0"
"7","Al-Hawl Offensive (2015)","Q21405560","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve",2011-03-15,0,0,0,1,0,0,0,36.3913993835449,41.1514015197754,2015,2015-10-31,"2015-11-30",30,1691,4,"1",33,493,"6",NA,0,1,1,0,0,"0","0","1","1","0","2015-10","10",201510,"Barack Obama",46.233334,49.400002,-3.1666679,46.655174,2.0934703,-0.42184067,-0.90416694,0.020690918,0.041901998,"1",1,5.1705737,5.0638709,0,0,0,82,0,49.379311,1,9,0,2,3,3,3,1,"0","0","1","0"
"8","Al-Shaddadi offensive (2016)","Q22894201","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve",2011-03-15,0,0,0,1,0,0,0,36.0560989379883,40.7303009033203,2016,2016-02-16,"2016-02-24",8,1799,2,"1",26,455,"40",NA,0,1,1,0,0,"0","0","1","1","0","2016-02","02",201602,"Barack Obama",47.857143,48.142857,-0.2857132,47.766666,5.1469541,0.09047699,0.1894145,0.27619171,0.57700223,"1",1,5.9177966,6.2730865,0,1,0,86,0,47.866665,0,0,1,3,6,6,5,3,"0","0","1","0"
"9","Barisha raid","Q72587856","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve",2011-03-15,1,0,1,1,1,0,1,36.1657981872559,36.6273994445801,2019,2019-01-26,"2019-10-27",274,2874,0,"0",0,19,"2",0,1,2,1,1,0.333333333333333,"1","1","1","1","1","2019-01","01",201901,"Donald Trump",37,59,22,39,-1.9818091,-2,-5.13,3,5.357142857,"0",0,5.55,5.81,0,0,0,24,1,56,4,4,1,4,5,5,4,1,"0","0","1","0"
"10","Ja'Din shootdown incident","Q60756557","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve",2011-03-15,0,1,0,0,0,0,0,35.6805572509766,38.7111129760742,2017,2017-06-18,"2017-06-18",0,2287,1,"1",0,0,"0",0,1,0,0,0,1,"2","1","0","0","0","2017-06","06",201706,"Donald Trump",38.25,56.75,18.5,39.4,-3.7620962,-1.15,-2.92,1.75,3.181818182,"0",0,6.03,6.17,0,0,0,5,1,55,3,3,1,2,4,6,3,4,"0","0","1","0"
"11","May 2015 U.S. special forces raid in Syria","Q20860131","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve",2011-03-15,0,0,0,0,1,0,1,35.3296518,40.1350341,2015,2015-05-15,"2015-05-15",0,1522,1,"1",0,62,NA,0,0,1,1,0,0,"0","0","1","1","0","2015-05","05",201505,"Barack Obama",46.451614,48.645161,-2.1935463,46.793102,2.2340515,-0.34148788,-0.72978252,0.024471283,0.050331008,"1",1,5.4600668,5.2004795,0,0,0,77,0,48.620689,0,3,1,2,0,0,-1,-2,"2","0","1","1"
"12","Operation Tidal Wave II","Q22907504","Syrian Civil War","Q178810","SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve",2011-03-15,0,0,0,1,0,0,0,34.4536094665527,40.9366683959961,2015,2015-10-21,"2015-10-21",0,1681,0,"0",NA,NA,NA,NA,0,1,1,0,0,"0","0","1","1","0","2015-10","10",201510,"Barack Obama",46.233334,49.400002,-3.1666679,46.655174,2.0934703,-0.42184067,-0.90416694,0.020690918,0.041901998,"1",1,5.1705737,5.0638709,0,0,0,82,0,49.379311,1,9,0,2,3,3,3,1,"2","0","0","1"
