year,month,yearmonth,presidentid,approve,disapprove,difference,approveL1,approve_detrend,appch,appchpc,disappch,disappchpc,demparty,term2,misery,miseryL1,elecmonth,elecyear,reelecyear,tenure,firstyear
1989,1,198901,George Bush,51,6,45,,-10.918491,,,,,0,0,10.067245,9.7194099,0,0,0,1,1
1989,2,198902,George Bush,61,12,49,51,-0.90295106,10,19.607843,6,100,0,0,10.027584,10.067245,0,0,0,2,1
1989,3,198903,George Bush,59,15.5,43.5,61,-2.8874111,-2,-3.2786884,3.5,29.166666,0,0,9.9785433,10.027584,0,0,0,3,1
1989,4,198904,George Bush,55.5,16.5,39,59,-6.371871,-3.5,-5.9322033,1,6.4516129,0,0,10.323826,9.9785433,0,0,0,4,1
1989,5,198905,George Bush,58.400002,20.4,38,55.5,-3.4563298,2.9000015,5.2252278,3.8999996,23.636362,0,0,10.561705,10.323826,0,0,0,5,1
1989,6,198906,George Bush,64.666664,16,48.666664,58.400002,2.8258729,6.2666626,10.730586,-4.3999996,-21.568626,0,0,10.46949,10.561705,0,0,0,6,1
1989,7,198907,George Bush,66,18,48,64.666664,4.1747484,1.3333359,2.0618596,2,12.5,0,0,10.178904,10.46949,0,0,0,7,1
1989,8,198908,George Bush,64.333336,18.666666,45.666672,66,2.5236244,-1.6666641,-2.5252488,0.66666603,3.7037001,0,0,9.9058809,10.178904,0,0,0,8,1
1989,9,198909,George Bush,67.5,17,50.5,64.333336,5.7058287,3.1666641,4.9222755,-1.666666,-8.9285679,0,0,9.6405649,9.9058809,0,0,0,9,1
1989,10,198910,George Bush,64,19.666666,44.333336,67.5,2.2213683,-3.5,-5.185185,2.666666,15.686271,0,0,9.7925138,9.6405649,0,0,0,10,1
1989,11,198911,George Bush,66,19.5,46.5,64,4.2369084,2,3.125,-0.16666603,-0.84745443,0,0,10.055028,9.7925138,0,0,0,11,1
1989,12,198912,George Bush,68.5,17.5,51,66,6.7524481,2.5,3.7878788,-2,-10.256411,0,0,10.047302,10.055028,0,0,0,12,1
1990,1,199001,George Bush,79,10,69,,18.635502,10.5,15.32846715,-7.5,-42.85714286,0,0,10.602315,10.047302,0,0,0,13,0
1990,2,199002,George Bush,72.666664,15.333333,57.333332,79,12.317706,-6.3333359,-8.016881,5.333333,53.333328,0,0,10.56316,10.602315,0,0,0,14,0
1990,3,199003,George Bush,70.5,18,52.5,72.666664,10.166582,-2.1666641,-2.981648,2.666667,17.391306,0,0,10.433028,10.56316,0,0,0,15,0
1990,4,199004,George Bush,69,15.5,53.5,70.5,8.6821222,-1.5,-2.1276596,-2.5,-13.888889,0,0,10.111612,10.433028,0,0,0,16,0
1990,5,199005,George Bush,66,19.5,46.5,69,5.6976619,-3,-4.347826,4,25.806452,0,0,9.7618694,10.111612,0,0,0,17,0
1990,6,199006,George Bush,69,16,53,66,8.7132015,3,4.5454545,-3.5,-17.948717,0,0,9.8736458,9.7618694,0,0,0,18,0
1990,7,199007,George Bush,61.400002,25,36.400002,69,1.1287434,-7.5999985,-11.01449,9,56.25,0,0,10.323145,9.8736458,0,0,0,19,0
1990,8,199008,George Bush,73.285713,16.428572,56.85714,61.400002,13.029995,11.885712,19.357836,-8.5714283,-34.285713,0,0,11.317984,10.323145,0,0,0,20,0
1990,9,199009,George Bush,67.199997,21.200001,45.999996,73.285713,6.9598188,-6.0857162,-8.3040962,4.7714291,29.04348,0,0,12.059998,11.317984,0,0,0,21,0
1990,10,199010,George Bush,56.599998,32.200001,24.399998,67.199997,-3.6246397,-10.599998,-15.773808,11,51.886791,0,0,12.18981,12.059998,0,0,0,22,0
1990,11,199011,George Bush,56,32.400002,23.599998,56.599998,-4.2090983,-0.59999847,-1.060068,0.20000076,0.62112039,0,0,12.474822,12.18981,0,0,0,23,0
1990,12,199012,George Bush,60.75,29.25,31.5,56,0.55644161,4.75,8.4821424,-3.1500015,-9.7222261,0,0,12.406269,12.474822,0,0,0,24,0
1991,1,199101,George Bush,74.555557,17.333334,57.222221,,15.745053,,,,,0,0,12.051495,12.406269,0,0,0,25,0
1991,2,199102,George Bush,80.833336,13.166667,67.666672,74.555557,22.038372,6.2777786,8.420269,-4.166667,-24.038462,0,0,11.912502,12.051495,0,0,0,26,0
1991,3,199103,George Bush,84.25,9.5,74.75,80.833336,25.470575,3.4166641,4.2268009,-3.666667,-27.848103,0,0,11.695107,11.912502,0,0,0,27,0
1991,4,199104,George Bush,77,13,64,84.25,18.236115,-7.25,-8.605341,3.5,36.842106,0,0,11.587512,11.695107,0,0,0,28,0
1991,5,199105,George Bush,74.75,16.5,58.25,77,16.001656,-2.25,-2.9220779,3.5,26.923077,0,0,11.853567,11.587512,0,0,0,29,0
1991,6,199106,George Bush,70.666664,19.666666,51,74.75,11.93386,-4.0833359,-5.4626565,3.166666,19.191916,0,0,11.595924,11.853567,0,0,0,30,0
1991,7,199107,George Bush,69.25,21,48.25,70.666664,10.532735,-1.4166641,-2.0047135,1.333334,6.7796645,0,0,11.247856,11.595924,0,0,0,31,0
1991,8,199108,George Bush,69.400002,20.799999,48.600002,69.25,10.698277,0.15000153,0.2166087,-0.20000076,-0.95238459,0,0,10.699392,11.247856,0,0,0,32,0
1991,9,199109,George Bush,64.333336,25.333334,39,69.400002,5.647151,-5.0666656,-7.3006706,4.5333347,21.79488,0,0,10.291108,10.699392,0,0,0,33,0
1991,10,199110,George Bush,64,27.333334,36.666664,64.333336,5.3293552,-0.33333588,-0.51813865,2,7.8947368,0,0,9.9213438,10.291108,0,0,0,34,0
1991,11,199111,George Bush,51,39,12,64,-7.6551051,-13,-20.3125,11.666666,42.682922,0,0,9.9895363,9.9213438,0,0,0,35,0
1991,12,199112,George Bush,,,,51,,,,,,0,0,10.364268,9.9895363,0,0,0,36,0
1992,1,199201,George Bush,45,48,-3,,-12.256511,,,,,0,0,9.9002972,10.364268,0,1,1,37,0
1992,2,199202,George Bush,40.200001,49.400002,-9.2000008,45,-17.04097,-4.7999992,-10.666665,1.4000015,2.9166698,0,0,10.218993,9.9002972,0,1,1,38,0
1992,3,199203,George Bush,40.5,48.5,-8,40.200001,-16.725431,0.29999924,0.74626672,-0.90000153,-1.8218654,0,0,10.585188,10.218993,0,1,1,39,0
1992,4,199204,George Bush,40.333332,49.333332,-9,40.5,-16.876558,-0.16666794,-0.41152579,0.83333206,1.7182105,0,0,10.580476,10.585188,0,1,1,40,0
1992,5,199205,George Bush,40.5,51.5,-11,40.333332,-16.694351,0.16666794,0.41322631,2.1666679,4.3918948,0,0,10.623592,10.580476,0,1,1,41,0
1992,6,199206,George Bush,36.666668,54.666668,-18,40.5,-20.512144,-3.8333321,-9.4650173,3.1666679,6.14887,0,0,10.888233,10.623592,0,1,1,42,0
1992,7,199207,George Bush,30.333334,59,-28.666666,36.666668,-26.829937,-6.333334,-17.272728,4.3333321,7.926827,0,0,10.857124,10.888233,0,1,1,43,0
1992,8,199208,George Bush,36.666668,56,-19.333332,30.333334,-20.481064,6.333334,20.879122,-3,-5.0847459,0,0,10.747868,10.857124,0,1,1,44,0
1992,9,199209,George Bush,34.75,56,-21.25,36.666668,-22.382191,-1.9166679,-5.2272758,0,0,0,0,10.588343,10.747868,0,1,1,45,0
1992,10,199210,George Bush,34.666668,57,-22.333332,34.75,-22.449984,-0.083332062,-0.23980449,1,1.7857143,0,0,10.502337,10.588343,0,1,1,46,0
1992,11,199211,George Bush,42,46,-4,34.666668,-15.101111,7.3333321,21.153841,-11,-19.298246,0,0,10.447893,10.502337,1,1,1,47,0
1992,12,199212,George Bush,48.5,43.5,5,42,-8.5855722,6.5,15.476191,-2.5,-5.4347825,0,0,10.300653,10.447893,0,0,0,48,0
1993,1,199301,William J. Clinton,55.666668,29,26.666668,48.5,-4.48422,7.166668,14.77663505,-14.5,-33.33333333,1,0,10.558508,10.300653,0,0,0,1,1
1993,2,199302,William J. Clinton,54.5,30.5,24,55.666668,-5.6353478,-1.1666679,-2.0958107,1.5,5.1724138,1,0,10.346753,10.558508,0,0,0,2,1
1993,3,199303,William J. Clinton,52,35,17,54.5,-8.1198082,-2.5,-4.5871558,4.5,14.754098,1,0,10.086864,10.346753,0,0,0,3,1
1993,4,199304,William J. Clinton,55,37,18,52,-5.1042681,3,5.7692308,2,5.7142859,1,0,10.325807,10.086864,0,0,0,4,1
1993,5,199305,William J. Clinton,44,44.5,-0.5,55,-16.088728,-11,-20,7.5,20.270269,1,0,10.321188,10.325807,0,0,0,5,1
1993,6,199306,William J. Clinton,39.666668,48.666668,-9,44,-20.406521,-4.3333321,-9.8484821,4.1666679,9.3632984,1,0,9.995718,10.321188,0,0,0,6,1
1993,7,199307,William J. Clinton,45,45.5,-0.5,39.666668,-15.057649,5.3333321,13.445374,-3.1666679,-6.5068517,1,0,9.6757965,9.995718,0,0,0,7,1
1993,8,199308,William J. Clinton,43.5,46.5,-3,45,-16.542109,-1.5,-3.3333333,1,2.1978023,1,0,9.5679274,9.6757965,0,0,0,8,1
1993,9,199309,William J. Clinton,49.333332,39,10.333332,43.5,-10.693236,5.8333321,13.409959,-7.5,-16.129032,1,0,9.3893156,9.5679274,0,0,0,9,1
1993,10,199310,William J. Clinton,48,43,5,49.333332,-12.011028,-1.3333321,-2.7027001,4,10.256411,1,0,9.5503483,9.3893156,0,0,0,10,1
1993,11,199311,William J. Clinton,47.666668,43,4.6666679,48,-12.32882,-0.33333206,-0.6944418,0,0,1,0,9.2760582,9.5503483,0,0,0,11,1
1993,12,199312,William J. Clinton,49.5,40,9.5,47.666668,-10.479949,1.8333321,3.8461511,-3,-6.9767442,1,0,9.2484207,9.2760582,0,0,0,12,1
