belligerent,ccode,cname,ccode_wrong,Qcode,drop_nopage,drop_trashentity,notes
Brazil,140,Brazil,,Q155,,,
Somali pirates,,,,Q214451,,,
Iraqi Security Forces,645,Iraq,,Q16849914,,,
Mahdi Army,,,,Q861979,,,
Ivory Coast,437,Côte d’Ivoire,,Q1008,,,
Cameroon,471,Cameroon,,Q1009,,,
Libya,620,Libya,,Q1016,,,
Libyan Arab Jamahiriya,620,Libya,,Q1016,,,Might just be the name for Libya given by Gaddafi in 1969
Malawi,553,Malawi,,Q1020,,,
Mauritania,435,Mauritania,,Q1025,,,
Morocco,600,Morocco,,Q1028,,,
Mozambique,541,Mozambique,,Q1029,,,
Niger,436,Niger,,Q1032,,,
Nigeria,475,Nigeria,,Q1033,,,
Uganda,500,Uganda,,Q1036,,,
Rwanda,517,Rwanda,,Q1037,,,
Senegal,433,Senegal,,Q1041,,,
Seychelles,591,Seychelles,,Q1042,,,
Somalia,520,Somalia,,Q1045,,,
Sudan,625,Sudan,,Q1049,,,
MFS,,,,Q10566647,,,
United Nations,,,,Q1065,,,
Al Qaeda in Iraq,645,Iraq,1,Q1076058,,,
Al-Qaeda in Iraq,645,Iraq,1,Q1076058,,,
al-Qaeda in Iraq,645,Iraq,1,Q1076058,,,
Tanzim Qaidat al-Jihad fi Bilad al-Rafidayn,,,,Q1076058,,,
Lord's Resistance Army,,,,Q108462,,,
Sinjar Resistance Units,,,,Q10861236,,,
YBŞ,,,,Q10861236,,,
Syrian Republican Guard,652,Syria,,Q1112438,,,
Republic Srpska,346,Bosnia & Herzegovina,,Q11196,,,
Republika Srpska,346,Bosnia & Herzegovina,,Q11196,,,
Republika Srpska,346,Bosnia & Herzegovina,,Q11196,,,
Kenya,501,Kenya,,Q114,,,
Fedayeen Saddam,,,,Q1142173,,,
Ethiopia,530,Ethiopia,,Q115,,,
Oromo Liberation Front,,,,Q1153941,,,
Hazara Militia,,,,Q115473,,,
Rajah Sulaiman Movement,,,,Q1168497,,,
Rajah Sulaiman movement,,,,Q1168497,,,
Ghana,452,Ghana,,Q117,,,
PIJ,,,,Q117907,,,
Islamic Jihad of Yemen,679,Yemen,1,Q12207542,,,
Kosovo,347,Kosovo,,Q1246,,,
MINUSMA,,,,Q12525579,,,
Republic of Bosnia and Herzegovina,346,Bosnia & Herzegovina,,Q1274468,,,
Kurdish National Council,,,,Q1282507,,,
Saddam Hussein and personal bodyguards,645,Iraq,,Q1316,,,
Ansar al-Sharia - Tunisia,616,Tunisia,1,Q13257444,,,
Liwa Abu al-Fadhal al-Abbas,,,,Q13438898,,,
Lebanese Communist Party,,,,Q1349604,,,
Syrian Arab Air Force,652,Syria,,Q1416238,,,
France,220,France,,Q142,,,
Harkat-ul-Jihad al-Islami,,,,Q1422667,,,
Iraqi Turkmen Front,,,,Q1424473,,,
United Kingdom,200,United Kingdom,,Q145,,,
Pakistani Taliban,770,Pakistan,1,Q1459585,,,
Tehrik-i-Taliban Pakistan,770,Pakistan,1,Q1459585,,,
Mandatory Iraq,645,Iraq,,Q146720,,,Mandatory Iraq refers to a former country that was dissolved in 1932
Somali Democratic Republic,,,,Q1477220,,,
China,710,China,,Q148,,,
Kingdom of Iraq,645,Iraq,,Q149805,,,"Kingdom of Iraq ceased to exist in 1958, but coded for Iraqi-Kurdish conflict that began in 1918"
Kingdom of Kurdistan,,,,Q149832,,,
Syrian Interim Government,652,Syria,,Q15020959,,,
Interim Government,652,Syria,,Q15020959,,,
Hezbollah Al-Hejaz,,,,Q15081016,,,
Soviet Union,365,Russia,,Q15180,,,
PKK,,,,Q152220,,,
International Security Assistance Force,,,,Q155654,,,
ISAF,,,,Q155654,,,
Iraqi Armed Forces,645,Iraq,,Q15611742,,,
Pre-occupation Iraqi armed forces,645,Iraq,,Q15611742,,,
Ansar Bait al-Maqdis,,,,Q15646812,,,
Wilayat Sinai,,,,Q15646812,,,
Army of the Mujahedeen,,,,Q15704024,,,
Jabhat Ahl al-Sham,,,,Q15704024,,,
Bangsamoro,,,,Q15709731,,,
Bangsamoro Islamic Freedom Fighters,,,,Q15709731,,,
BIFF,,,,Q15709731,,,
Russia,365,Russia,,Q159,,,
Russian Federation,365,Russia,,Q159,,,
Indian Mujahideen,750,India,1,Q159087,,,
OIRAP,,,,Q15980911,,,
Canada,20,Canada,,Q16,,,
Jaish ul-Adl,,,,Q16049541,,,
Ansar al-Sharia - Mauritania,435,Mauritania,1,Q16147042,,,
Al Furqan Brigades,,,,Q16148530,,,
Asayish,,,,Q16199562,,,
Internal Security Forces Asayish,,,,Q16199562,,,
Ba'athist Syrian Government,652,Syria,,Q16243030,,,
Lashkar-e-Omar,,,,Q1636183,,,
AMISOM,,,,Q1641888,,,
Islamic Kurdistan,,,,Q1644886,,,
Kurdistan Islamic Group,,,,Q1644886,,,
Al-Mourabitoun,,,,Q16525650,,,
Iraqi government,645,Iraq,,Q1672351,,,
Iraqi Communist Party,645,Iraq,,Q1672366,,,
Islamic Jihad Union,,,,Q1674120,,,
Kurdistan Islamic Movement,,,,Q1674121,,,
East Turkestan Islamic Movement,,,,Q1674170,,,
East Turkistan Islamic Party,,,,Q1674170,,,
ETIM,,,,Q1674170,,,
Turkistan Islamic Party,,,,Q1674170,,,
SNA,,,,Q1679059,,,
Somali National Alliance,,,,Q1679059,,,
Iraq security forces,645,Iraq,,Q16849914,,,
Iraqi security forces,645,Iraq,,Q16849914,,,
Iraqi National Guard,645,Iraq,,Q16955169,,,
Japan,740,Japan,,Q17,,,
Harakat Sham al-Islam,,,,Q17004199,,,
Jund al-Aqsa,,,,Q17006617,,,
UN Protection Force,,,,Q170245,,,
UNPROFOR,,,,Q170245,,,
Tunisian Combatant Group,616,Tunisia,1,Q17053094,,,
Quetta Shura,,,,Q1740122,,,
Libyan parliament,620,Libya,,Q17443556,,,
House of Representatives,,,,Q17443556,,,
Shura Council of Benghazi Revolutionaries,,,,Q17502017,,,
SPM,,,,Q1766415,,,
UNOSOM II,,,,Q1778229,,,
SNM,,,,Q1788421,,,
AQIS,,,,Q17899406,,,
Jama'at al-Tawhid wal-Jihad,,,,Q17984585,,,
JTJ,,,,Q17984585,,,
Ba-athists,,,,Q179933,,,
Lashkar-e-Islam,,,,Q1806585,,,
Bedouin tribesmen,,,,Q180688,,,
Khorasan,,,,Q18112628,,,
Khorasan group,,,,Q18112628,,,
Islamic State of Iraq and the Levant Wilayat al-Jazair,645,Iraq,1,Q18122635,,,
Jund al-Khilafah,,,,Q18122635,,,
Nour al-Din al-Zenki Movement,,,,Q18155793,,,
Islamic State of Iraq,645,Iraq,1,Q18206631,,,
Islamic state of Iraq,645,Iraq,1,Q18206631,,,
Soldiers of Egypt,651,Egypt,1,Q18210320,,,
Germany,255,Germany,,Q183,,,
Sootoro,,,,Q18392177,,,
YPJ,,,,Q18395275,,,
Belarus,370,Belarus,,Q184,,,
Ezidxan Iraq Command,645,Iraq,1,Q18412532,,,
Resolute Support,,,,Q18651204,,,
Resolute Support Mission,,,,Q18651204,,,
RS,,,,Q18651204,,,
Assyrian national guard,652,Syria,1,Q18702437,,,
Nineveh Plain Protection Units,,,,Q18702437,,,
Jamaat-ul-Ahrar,,,,Q18711585,,,
CJTF-OIR,,,,Q18712599,,1,
Misrata Brigades,,,,Q18715205,,,Misrata Brigade refers to the Central Shield branch of the Libya Shield Force
Iraqi Ba'ath Party,645,Iraq,,Q1878844,,,
Iraqi Ba'ath Party Loyalists,645,Iraq,,Q1878844,,,
Ba'ath Loyalists,,,,Q1878844,,,
Ba'ath loyalists,,,,Q1878844,,,
Ba'ath Party Loyalists,,,,Q1878844,,,
Ba'ath Party loyalists,,,,Q1878844,,,
Ba'athists,,,,Q1878844,,,
FFL,,,,Q188559,,,
Iceland,395,Iceland,,Q189,,,
Western European Union,,,,Q189946,,,
Estonia,366,Estonia,,Q191,,,
Western Bosnia,346,Bosnia & Herzegovina,1,Q192262,,,
Kosovo Liberation Army,347,Kosovo,1,Q193366,,,
KLA,,,,Q193366,,,
Al-Qaeda in Bosnia and Herzegovinia,346,Bosnia & Herzegovina,1,Q19428976,,,
KIM,,,,Q19429040,,,
Multinational Joint Task Force,,,,Q19429054,,,
Shi'a militias,,,,Q19610107,,1,
Popular Mobilization Forces,,,,Q19610107,,,
Army of Conquest,,,,Q19691801,,,
ISIL in Libya,620,Libya,1,Q19824111,,,
Libya Province,620,Libya,,Q19824111,,,
Islamic State of Iraq and the Levant Libyan Provinces,,,,Q19824111,,,
Wilayat Barqa,,,,Q19824111,,,coded as alternative name for ISIL-LIbya
Liwa Fatemiyoun,,,,Q19883290,,,
South Yemen,680,Yemen People's Republic,,Q199841,,,
Norway,385,Norway,,Q20,,,
Abdullah Azzam Brigades,,,,Q2000803,,,
Sheikh Omar Hadid Brigade,,,,Q20050674,,,
al-Mahdi Army,,,,Q20382097,,,
Mahdi Militia,,,,Q20382097,,,
Jund al-Islam,,,,Q20387047,,,
Iraq Kurdistan,645,Iraq,1,Q205047,,,
Iraqi Kurdistan,645,Iraq,1,Q205047,,,
International Freedom Battalion,,,,Q20635401,,,
Ansar al-Sharia - Syria,652,Syria,1,Q20642762,,,
Caucasus Province,,,,Q21070584,,,
Islamic State of Iraq and the Levant - Khorasan Province,645,Iraq,1,Q21070585,,,
ISIL-K,,,,Q21070585,,,
ISIL-KP,,,,Q21070585,,,
Khorasan Province,,,,Q21070585,,,
Wilayat Khorasan,,,,Q21070585,,,coded as alternative name for ISIL-Khorasan Province
Sinai Province,,,,Q21070586,,,
Syrian Democratic Forces,652,Syria,1,Q21096224,,,
Latvia,367,Latvia,,Q211,,,
Fidai Mahaz,,,,Q21180296,,,
Republic of Serbian Krajina,,,,Q211853,,,
Serbian Krajina,,,,Q211853,,,
Ukraine,369,Ukraine,,Q212,,,
Islamic State of Iraq and the Levant Wilayat Gharb Ifriqiyyah,645,Iraq,1,Q212372,,,
Boko Haram,,,,Q212372,,,
ISIL-West Africa,,,,Q212372,,,
Czech Republic,316,Czechia,,Q213,,,
Slovakia,317,Slovakia,,Q214,,,
Al-Sanadid Forces,,,,Q21469695,,,
Revolutionary Commando Army,,,,Q21481802,,,
Slovenia,349,Slovenia,,Q215,,,
YJÊ,,,,Q21503656,,,
Moldova,359,Moldova,,Q217,,,
Islamic Military Alliance,,,,Q21723343,,,Coalition of multiple countries
Romania,360,Romania,,Q218,,,
Bulgaria,355,Bulgaria,,Q219,,,
Palestine,,,,Q219060,,,
North Macedonia,343,Macedonia,1,Q221,,,Possible ccode error
Government of National Accord,,,,Q22120970,,,
Albania,339,Albania,,Q222,,,
Sinjar Alliance,,,,Q22264396,,,
Croatia,344,Croatia,,Q224,,,
Bosnia and Herzegovina,346,Bosnia & Herzegovina,,Q225,,,
Bosnia-Herzegovina,346,Bosnia & Herzegovina,,Q225,,,
Azerbaijan,373,Azerbaijan,,Q227,,,
Andorra,232,Andorra,,Q228,,,
Cyprus,352,Cyprus,,Q229,,,
Al-Qaeda in Sinai Peninsula,,,,Q22947425,,,
Alliance for the Re-Liberation of Somalia,520,Somalia,1,Q2298600,,,
Alliance for the Re-liberation of Somalia,520,Somalia,1,Q2298600,,,
Georgia,372,Georgia,,Q230,,,
Yemen Province,679,Yemen,,Q23072467,,,
Islamic State of Iraq and the Levant - Yemen Province,,,,Q23072467,,,
Kazakhstan,705,Kazakhstan,,Q232,,,
Islamic Emirate of Waziristan,,,,Q2320255,,,
Malta,338,Malta,,Q233,,,
Abkhazia,,,,Q23334,,,
South Ossetia,,,,Q23427,,,
Moroccan Islamic Combatant Group,,,,Q2357272,,,
Montenegro,341,Montenegro,,Q236,,,
