,wikidata_name,wikidata_id,lat,lon,urban,forested,mountainous
1,1989 Philippine coup attempt,Q4585384,14.58333302,120.9833298,2,0,0
2,Operation Senior Surprise,Q85790978,36.34000015,43.13000107,1,0,0
3,Battle of Ad-Dawrah,Q4870215,NA,NA,NA,NA,NA
4,Package Q Strike,Q7122885,33.315241,44.3660671,2,0,0
5,Attack on Ras Tanura,Q28162756,26.773008,49.998236,1,0,0
6,Battle of Qurah and Umm al Maradim,Q4872147,29.4426996,48.2891359,1,0,0
7,Battle of Khafji,Q718770,28.41666603,48.5,1,0,0
8,Samurra Air Battle,Q28162754,33.5701198,44.5411655,2,0,0
9,Amiriyah shelter bombing,Q2071090,33.28333282,44.26666641,2,0,0
10,Battle of Wadi Al-Batin,Q3636251,33.223191,43.679291,0,0,0
11,Battle of 73 Easting,Q1402530,29.83333397,46.78333282,0,0,0
12,Battle of Al Busayyah,Q3636316,30.10777855,46.10527802,2,0,0
13,Battle of Phase Line Bullet,Q3636571,33.223191,43.679291,0,0,0
14,Battle of Medina Ridge,Q1634629,30.16666603,46.93333435,0,0,0
15,Battle of Kuwait International Airport,Q19428991,29.23749924,47.9738884,1,0,0
16,Battle of Norfolk,Q3636553,29.9133171,45.2993862,0,0,0
17,Battle for Jalibah Airfield,Q4870165,30.54597282,46.60316849,2,0,0
18,Operation Provide Comfort,Q2281470,36.4103395,44.3871953,0,0,1
19,Battle of Rumaila,Q4872216,30.85625839,46.91848755,0,0,0
20,Operation Southern Watch,Q2026406,33.223191,43.679291,0,0,0
21,1993 cruise missile strikes on Iraq,Q5189962,26.7505337,51.6834275,0,0,0
22,Battle of Mogadishu (1993),Q52226,2.0469343,45.3181623,2,0,0
23,Banja Luka incident,Q1984410,44.53333282,16.56666756,0,1,1
24,Operation Uphold Democracy,Q2026486,18.971187,-72.285215,1,0,1
25,Operation Vigilant Warrior,Q1838811,30.0830204,47.7025402,2,0,0
26,Implementation Force,Q313577,43.915886,17.679076,0,1,1
27,1995 Pale air strikes,Q48799393,43.8118946,18.5711013,2,1,1
28,Operation Deliberate Force,Q160774,43.915886,17.679076,0,1,1
29,Operation Vigilant Sentinel,Q7097689,26.7505337,51.6834275,0,0,0
30,Cruise missile strikes on Iraq,Q1781133,33.223191,43.679291,0,0,0
31,Stabilisation Force in Bosnia and Herzegovina,Q313440,43.915886,17.679076,0,1,1
32,Operation Northern Watch,Q2026233,36.4103395,44.3871953,0,0,1
33,Operation Infinite Reach,Q837887,15.63333321,32.54999924,1,0,0
34,Bombing of Iraq,Q1327861,33.223191,43.679291,0,0,0
35,Operation Desert Spring,Q7096978,29.31166,47.481766,0,0,0
36,NATO bombing of Novi Sad,Q4594928,45.2671352,19.8335496,2,0,0
37,Battle of Košare,Q3303959,42.45000076,20.20000076,0,1,1
38,Grdelica train bombing,Q5598537,42.87696838,22.08595276,0,1,1
39,NATO bombing of Albanian refugees near Gjakova,Q499623,42.3844104,20.4285021,2,1,1
40,NATO bombing of the Radio Television of Serbia headquarters,Q4475947,44.79999924,20.46666718,2,0,0
41,Lužane bus bombing,Q6706905,43.481642,21.7281043,1,1,1
42,United States bombing of the Chinese embassy in Belgrade,Q2418042,44.82500076,20.41900063,2,0,0
43,Koriša bombing,Q2813755,42.2615528,20.7897275,0,1,1
44,Dubrava Prison bombings and executions,Q16836125,42.7870318,20.5528304,0,1,1
45,Bombing of Kandahar (2001),Q4871376,31.628871,65.7371749,2,0,1
46,Operation Crescent Wind,Q7096941,33.93911,67.709953,0,0,1
47,Operation Rhino,Q3417667,31.628871,65.7371749,2,0,1
48,Fall of Mazar-i-Sharif,Q2889318,36.6926167,67.1179511,0,0,1
49,Siege of Kunduz,Q3485911,36.7285907,68.8680663,0,0,1
50,2001 uprising in Herat,Q3152953,34.352865,62.2040287,1,0,0
51,Battle of Tarinkot,Q4872509,32.666404,65.9036295,0,0,1
52,Fall of Kabul,Q5432157,34.5553494,69.207486,2,0,1
53,Fall of Kandahar,Q2888881,31.628871,65.7371749,2,0,1
54,Battle of Qala-i-Jangi,Q3180637,36.66666794,66.98332977,0,0,1
55,Battle of Shawali Kowt,Q4872366,32.666404,65.9036295,0,0,1
