belligerent2,qcode2,,
055 Brigade,Q3076828,2,3
1920 Revolution Brigade,Q4560880,1,1
Abdullah Azzam Brigades,Q2000803,2,3
Abkhazia,Q23334,2,3
Abnaa ul-Calipha,Q29025613,2,3
Abu Hafs al-Masri Brigades,Q3644630,1,1
Abu Sayyaf,Q335361,2,3
Ahrar al-Sharqiya,Q48549870,1,2
Ahrar ash-Sham,Q860943,1,2
Al Qaeda,Q34490,2,3
Al Qaeda and other foreign mujahideen,Q34490,2,3
Al Qaeda in Iraq,NA,2,3
Al-Awda,Q7760381,1,1
Al-Hijra,NA,1,1
al-Itihaad al-Islamiya,Q310147,1,1
al-Mahdi Army,Q20382097,1,1
Al-Mourabitoun,Q16525650,1,1
al-Nusra Front,Q32748,1,2
Al-Nusra Front,Q32748,1,2
al-Qaeda,Q34490,2,3
Al-Qaeda,Q34490,2,3
Al-Qaeda in Bosnia and Herzegovinia,NA,2,3
al-Qaeda in Iraq,NA,2,3
Al-Qaeda in Iraq,NA,2,3
Al-Qaeda in Sinai Peninsula,Q22947425,2,3
al-Qaeda in the Arabian Peninsula,Q2635866,2,3
al-Qaeda in the Islamic Maghreb,Q2635966,2,3
Al-Qaeda in the Malay Archipelago,Q7684199,2,3
Al-Qaeda Organization in the Islamic Maghreb,Q2635966,2,3
al-Shabaab,Q309998,1,1
Al-Shabaab,Q309998,1,1
All Various Terrorists and Insurgent,NA,1,1
Alliance for the Re-liberation of Somalia,NA,1,1
Alliance for the Re-Liberation of Somalia,NA,1,1
Ansar al-Islam,Q568914,1,1
Ansar al-Sharia - Derna,Q4770517,2,3
Ansar al-Sharia - Egypt,NA,2,3
Ansar al-Sharia - Libya,NA,2,3
Ansar al-Sharia - Mali,NA,2,3
Ansar al-Sharia - Mauritania,NA,2,3
Ansar al-Sharia - Morocco,NA,2,3
Ansar al-Sharia - Syria,NA,2,3
Ansar al-Sharia - Tunisia,NA,2,3
Ansar al-Sharia - Yarmouk Area,NA,2,3
Ansar al-Sharia - Yemen,NA,2,3
Ansar al-Sunna,Q568912,1,1
Ansar al-Sunna - Mozambique,NA,1,1
Ansar al-Sunnah,Q568912,1,1
Ansar Dine,Q568900,1,1
Ansar Khalifa Philippines,NA,1,1
Ansaru,Q4770527,1,1
Anti-Coalition/Government forces,NA,1,1
AQAP,Q2635866,2,3
AQIM,Q2635966,2,3
AQIS,Q17899406,2,3
AQKB,Q4703056,2,3
Armed Forces of Haiti,Q4124963,2,3
Army of Mohammed,Q286627,1,1
Army of the Conqueror,NA,1,1
Army of the Men of the Naqashbandi Order,Q4794345,1,1
Army of the Men of the Naqshbandi Order,Q4794345,1,1
Army of the Mujahedeen,Q15704024,1,1
Asa'ib Ahl al-Haq,Q2866334,2,3
Ba-athists,Q179933,1,1
Ba'ath loyalists,Q1878844,1,1
Ba'ath Loyalists,Q1878844,1,1
Ba'ath Party loyalists,Q1878844,1,1
Ba'ath Party Loyalists,Q1878844,1,1
Ba'athists,Q1878844,1,1
Badr Brigades,Q2994636,2,3
Bangsamoro,Q15709731,1,1
Bangsamoro Islamic Freedom Fighters,Q15709731,1,1
BIFF,Q15709731,1,1
Black Banner Organization,Q4920321,1,1
Boko Haram,Q212372,1,1
Brigades of the Army of the Mustafa,NA,1,1
Caucasus Emirate,Q58826,1,1
Caucasus Province,Q21070584,2,3
East Turkestan Islamic Movement,Q1674170,1,1
East Turkistan Islamic Party,Q1674170,1,1
ETIM,Q1674170,1,1
Fadhila militia,Q3408639,1,1
Fadhila Militia,Q3408639,1,1
