"","level_1","level_2","level_3","level_4","level_5","level_6","level_7","level_8","level_9"
"1","intervention","1989 Philippine coup attempt_Q4585384",NA,NA,NA,NA,NA,NA,NA
"2","intervention","1991 Haitian coup d'état_Q4586873","Operation Uphold Democracy_Q2026486",NA,NA,NA,NA,NA,NA
"3","intervention","2004 Haitian coup d'état_Q2883469","Operation Secure Tomorrow_Q7097528",NA,NA,NA,NA,NA,NA
"4","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","2017 al-Jinah airstrike_Q28983702",NA,NA,NA,NA
"5","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","2017 Shayrat missile strike_Q29197866",NA,NA,NA,NA
"6","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","2018 missile strikes against Syria_Q51844684",NA,NA,NA,NA
"7","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","Al-Hawl Offensive (2015)_Q21405560",NA,NA,NA,NA
"8","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","Al-Shaddadi offensive (2016)_Q22894201",NA,NA,NA,NA
"9","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","Barisha raid_Q72587856",NA,NA,NA,NA
"10","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","Ja'Din shootdown incident_Q60756557",NA,NA,NA,NA
"11","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","May 2015 U.S. special forces raid in Syria_Q20860131",NA,NA,NA,NA
"12","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","Operation Noble Lance_",NA,NA,NA,NA
"13","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","Operation Odyssey Lightning_",NA,NA,NA,NA
"14","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","Operation Tidal Wave II_Q22907504",NA,NA,NA,NA
"15","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","September 2016 Deir ez-Zor air raid_Q26945162",NA,NA,NA,NA
"16","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","American-led intervention in Syria_Q18121212","Tishrin Dam offensive_Q21860041",NA,NA,NA,NA
"17","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Battle of al-Hasakah (2016)_Q26413779",NA,NA,NA,NA,NA
"18","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","foreign involvement in the Syrian civil war_Q5468411","Russian military support in the Syrian Civil War_Q21032720","2017 Baghdad–Damascus highway offensive_Q29991963",NA,NA,NA
"19","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","foreign involvement in the Syrian civil war_Q5468411","Russian military support in the Syrian Civil War_Q21032720","Palmyra offensive (December 2016)_Q27988133",NA,NA,NA
"20","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Islamic Front–Free Syrian Army conflict_Q15303938","2017 southern Syria offensive_Q28162889",NA,NA,NA,NA
"21","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Islamic Front–Free Syrian Army conflict_Q15303938","Northern Aleppo offensive_Q25242026",NA,NA,NA,NA
"22","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Rojava conflict_Q2384201","2013 Syrian Kurdish–Islamist conflict_Q15109939","Al-Hasakah city offensive (June 2015)_Q20241081",NA,NA,NA
"23","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Rojava conflict_Q2384201","2013 Syrian Kurdish–Islamist conflict_Q15109939","Al-Hasakah offensive_Q19428973",NA,NA,NA
"24","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Rojava conflict_Q2384201","2013 Syrian Kurdish–Islamist conflict_Q15109939","Al-Hasakah offensive_Q20050670",NA,NA,NA
"25","intervention","Arab Spring_Q33761","Syrian Civil War_Q178810","Rojava conflict_Q2384201","2013 Syrian Kurdish–Islamist conflict_Q15109939","Battle of Sarrin (June–July 2015)_Q20715216",NA,NA,NA
