"","child","parent","level2","level3","level4","level5","level6","level7","level8","level9","parent_icb","parent_imi","parent_mids","parent_mip","parent_mips","parent_rand"
"1","Q4585384","Q4585384","Q4585384",NA,NA,NA,NA,NA,NA,NA,NA,"US aids Phillippine government after coup attempt (AP, UPI, Xinh)",NA,"Philippines Coup Attempt",NA,NA
"2","Q2026486","Q4586873","Q4586873","Q2026486",NA,NA,NA,NA,NA,NA,"HAITI MIL. REGIME","US restores democratically elected government in Haiti  (UPI, AP)","4016","Operation Uphold Democracy","Operation Uphold Democracy","Operation Safe Harbor"
"3","Q7097528","Q2883469","Q2883469","Q7097528",NA,NA,NA,NA,NA,NA,NA,"US aids in restoring order in Haiti (AP, AFP)",NA,"Operation Secure Tomorrow",NA,"Operation Secure Tomorrow"
"4","Q28983702","Q178810","Q33761","Q178810","Q18121212","Q28983702",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"5","Q29197866","Q178810","Q33761","Q178810","Q18121212","Q29197866",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"6","Q51844684","Q178810","Q33761","Q178810","Q18121212","Q51844684",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"7","Q21405560","Q178810","Q33761","Q178810","Q18121212","Q21405560",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"8","Q22894201","Q178810","Q33761","Q178810","Q18121212","Q22894201",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"9","Q72587856","Q178810","Q33761","Q178810","Q18121212","Q72587856",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"10","Q60756557","Q178810","Q33761","Q178810","Q18121212","Q60756557",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"11","Q20860131","Q178810","Q33761","Q178810","Q18121212","Q20860131",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"12","Q22907504","Q178810","Q33761","Q178810","Q18121212","Q22907504",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"13","Q26945162","Q178810","Q33761","Q178810","Q18121212","Q26945162",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"14","Q21860041","Q178810","Q33761","Q178810","Q18121212","Q21860041",NA,NA,NA,NA,"SYRIA CHEMICAL WEAPONS",NA,NA,"c(""Syrian Civil War/Counter IS"", ""U.S. involvement in Syrian Civil War"")",NA,"Operation Inherent Resolve"
"15","Q26413779","Q178810","Q33761","Q178810","Q26413779",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Q29991963","Q178810","Q33761","Q178810","Q5468411","Q21032720","Q29991963",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Q27988133","Q178810","Q33761","Q178810","Q5468411","Q21032720","Q27988133",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Q28162889","Q178810","Q33761","Q178810","Q15303938","Q28162889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Q25242026","Q178810","Q33761","Q178810","Q15303938","Q25242026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Q20241081","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q20241081",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Q19428973","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q19428973",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Q20050670","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q20050670",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Q20715216","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q20715216",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Q19691931","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q19691931",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Q61843818","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q39899474","Q61843818",NA,NA,NA,NA,NA,NA,NA,NA
"26","Q48150708","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q39899474","Q48150708",NA,NA,NA,NA,NA,NA,NA,NA
"27","Q52941555","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q39899474","Q52941555",NA,NA,NA,NA,NA,NA,NA,NA
"28","Q28001554","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q23701421","Q28001554",NA,NA,NA,NA,NA,NA,NA,NA
"29","Q24255637","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q24255637",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Q30140821","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q27761867","Q30140821",NA,NA,NA,NA,NA,NA,NA,NA
"31","Q29258911","Q178810","Q33761","Q178810","Q2384201","Q15109939","Q27761867","Q29258911",NA,NA,NA,NA,NA,NA,NA,NA
"32","Q60761563","Q178810","Q33761","Q178810","Q2384201","Q60761563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Q20743978","Q178810","Q33761","Q178810","Q17272643","Q20743978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Q29991963","Q178810","Q33761","Q178810","Q29991963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Q27185813","Q178810","Q33761","Q178810","Q18208094","Q26690015","Q27185813",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Q27915277","Q178810","Q33761","Q178810","Q18208094","Q26690015","Q27915277",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Q28846183","Q178810","Q33761","Q178810","Q18208094","Q26690015","Q28846183",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Q27630575","Q178810","Q33761","Q178810","Q18208094","Q26690015","Q27630575",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Q80754846","Q65920364","Q17512479","Q22948406","Q65920364","Q80754846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Q26847124","Q65920364","Q17512479","Q22948406","Q65920364","Q26847124",NA,NA,NA,NA,NA,NA,NA,"Baghdad Embassy Protection",NA,NA
"41","Q105707091","Q65920364","Q17512479","Q22948406","Q65920364","Q105707091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Q107504334","Q65920364","Q17512479","Q22948406","Q65920364","Q107504334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
