row_operation,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
1989 Philippine coup attempt_Q4585384,intervention,1989 Philippine coup attempt_Q4585384,NA,NA,NA,NA,NA,NA,NA
Operation Uphold Democracy_Q2026486,intervention,1991 Haitian coup d'état_Q4586873,Operation Uphold Democracy_Q2026486,NA,NA,NA,NA,NA,NA
Operation Secure Tomorrow_Q7097528,intervention,2004 Haitian coup d'état_Q2883469,Operation Secure Tomorrow_Q7097528,NA,NA,NA,NA,NA,NA
2017 al-Jinah airstrike_Q28983702,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,2017 al-Jinah airstrike_Q28983702,NA,NA,NA,NA
2017 Shayrat missile strike_Q29197866,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,2017 Shayrat missile strike_Q29197866,NA,NA,NA,NA
2018 missile strikes against Syria_Q51844684,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,2018 missile strikes against Syria_Q51844684,NA,NA,NA,NA
Al-Hawl Offensive (2015)_Q21405560,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,Al-Hawl Offensive (2015)_Q21405560,NA,NA,NA,NA
Al-Shaddadi offensive (2016)_Q22894201,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,Al-Shaddadi offensive (2016)_Q22894201,NA,NA,NA,NA
Barisha raid_Q72587856,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,Barisha raid_Q72587856,NA,NA,NA,NA
Ja'Din shootdown incident_Q60756557,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,Ja'Din shootdown incident_Q60756557,NA,NA,NA,NA
May 2015 U.S. special forces raid in Syria_Q20860131,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,May 2015 U.S. special forces raid in Syria_Q20860131,NA,NA,NA,NA
NA,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,Operation Noble Lance_,NA,NA,NA,NA
NA,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,Operation Odyssey Lightning_,NA,NA,NA,NA
Operation Tidal Wave II_Q22907504,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,Operation Tidal Wave II_Q22907504,NA,NA,NA,NA
September 2016 Deir ez-Zor air raid_Q26945162,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,September 2016 Deir ez-Zor air raid_Q26945162,NA,NA,NA,NA
Tishrin Dam offensive_Q21860041,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,American-led intervention in Syria_Q18121212,Tishrin Dam offensive_Q21860041,NA,NA,NA,NA
NA,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Battle of al-Hasakah (2016)_Q26413779,NA,NA,NA,NA,NA
2017 Baghdad–Damascus highway offensive_Q29991963,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,foreign involvement in the Syrian civil war_Q5468411,Russian military support in the Syrian Civil War_Q21032720,2017 Baghdad–Damascus highway offensive_Q29991963,NA,NA,NA
Palmyra offensive (December 2016)_Q27988133,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,foreign involvement in the Syrian civil war_Q5468411,Russian military support in the Syrian Civil War_Q21032720,Palmyra offensive (December 2016)_Q27988133,NA,NA,NA
2017 southern Syria offensive_Q28162889,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Islamic Front–Free Syrian Army conflict_Q15303938,2017 southern Syria offensive_Q28162889,NA,NA,NA,NA
Northern Aleppo offensive_Q25242026,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Islamic Front–Free Syrian Army conflict_Q15303938,Northern Aleppo offensive_Q25242026,NA,NA,NA,NA
Al-Hasakah city offensive (June 2015)_Q20241081,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Al-Hasakah city offensive (June 2015)_Q20241081,NA,NA,NA
Al-Hasakah offensive_Q19428973,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Al-Hasakah offensive_Q19428973,NA,NA,NA
Al-Hasakah offensive_Q20050670,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Al-Hasakah offensive_Q20050670,NA,NA,NA
Battle of Sarrin (June–July 2015)_Q20715216,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Battle of Sarrin (June–July 2015)_Q20715216,NA,NA,NA
Battle of Sarrin (March–April 2015)_Q19691931,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Battle of Sarrin (March–April 2015)_Q19691931,NA,NA,NA
Deir ez-Zor offensive_Q39899474,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Deir ez-Zor offensive_Q39899474,Battle of Baghuz Fawqani_Q61843818,NA,NA
Deir ez-Zor offensive_Q39899474,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Deir ez-Zor offensive_Q39899474,Battle of Khasham_Q48150708,NA,NA
Deir ez-Zor offensive_Q39899474,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Deir ez-Zor offensive_Q39899474,Battle of Khusham (2018)_Q48150708,NA,NA
Deir ez-Zor offensive_Q39899474,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Deir ez-Zor offensive_Q39899474,Deir ez-Zor Governorate clashes (April 2018)_Q52941555,NA,NA
Deir ez-Zor offensive_Q39899474,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Deir ez-Zor offensive_Q39899474,Operation Roundup_,NA,NA
Deir ez-Zor offensive_Q39899474,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Deir ez-Zor offensive_Q39899474,Terrorism Defeat Battle_,NA,NA
Manbij offensive_Q23701421,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Manbij offensive_Q23701421,Tokhar airstrikes (2016)_Q28001554,NA,NA
Northern Raqqa offensive (May 2016)_Q24255637,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Northern Raqqa offensive (May 2016)_Q24255637,NA,NA,NA
Battle of Raqqa (2017)_Q30140821,intervention,Arab Spring_Q33761,Syrian Civil War_Q178810,Rojava conflict_Q2384201,2013 Syrian Kurdish–Islamist conflict_Q15109939,Raqqa campaign (2016–2017)_Q27761867,Battle of Raqqa (2017)_Q30140821,NA,NA
