"","Year","Intervention","dataset","Target","wikidata_name","wikidata_id"
"1","1989","INVASION OF PANAMA","icb",NA,NA,NA
"2","1990","GULF WAR","icb",NA,NA,NA
"3","1993","N. KOREA NUCLEAR I","icb",NA,NA,NA
"4","1994","HAITI MIL. REGIME","icb",NA,NA,NA
"5","1994","IRAQ DEPLOY./KUWAIT","icb",NA,NA,NA
"6","1996","DESERT STRIKE","icb",NA,NA,NA
"7","1997","UNSCOM I","icb",NA,NA,NA
"8","1998","US EMBASSY BOMBINGS","icb",NA,NA,NA
"9","1998","UNSCOM II","icb",NA,NA,NA
"10","1999","KOSOVO","icb",NA,NA,NA
"11","2001","AFGHANISTAN/US","icb",NA,NA,NA
"12","2003","IRAQ REGIME CHANGE","icb",NA,NA,NA
"13","2002","N. KOREA NUCLEAR II","icb",NA,NA,NA
"14","2006","IRAN NUCLEAR II","icb",NA,NA,NA
"15","2006","N. KOREA NUCLEAR III","icb",NA,NA,NA
"16","2009","N. KOREA NUCLEAR IV-SATELLITE LAUNCH","icb",NA,NA,NA
"17","2011","LIBYAN CIVILWAR","icb",NA,NA,NA
"18","2013","N. KOREA NUCLEAR V","icb",NA,NA,NA
"19","2013","SYRIA CHEMICAL WEAPONS","icb",NA,NA,NA
"20","2015","TURKEY-RUSSIA JET INCIDENT","icb",NA,NA,NA
"21","1989","U.S evacuates diplomats from Lebanon (AP, NYT)","imi","Lebanon",NA,NA
"22","1989","US aids Phillippine government after coup attempt (AP, UPI, Xinh)","imi","Philippines",NA,NA
"23","1989","US removes Panamanian government (WP, NYT)","imi","Panama",NA,NA
"24","1990","US evacuates American citizens from Liberia during civil conflict (CSM, AP, WP)","imi","Liberia",NA,NA
"25","1990","US in Saudi Arabia to protect it from Iraqi invasion in Op. Desert Shield (US Today, Des. Shield Factbook, Gulf War Chronicle)","imi","Saudi Arabia",NA,NA
"26","1990","US restores Kuwaiti government in Desert Storm (USA Today, Gulf War Chronicle)","imi","Kuwait",NA,NA
"27","1991","US moves troops into Iraq from Saudi Arabia (USA Today, Factbook, Gulf War Chronicle)","imi","Iraq",NA,NA
"28","1992","U.S.troops evacuate Americans from Sierra Leone (AP, Herald)","imi","Sierra Leone",NA,NA
"29","1992","U.S. troops give humanitarian relief to Somalia (Xinh, UP, AP) ","imi","Somalia",NA,NA
"30","1993","US planes drop food in Bosnia-Herzegovina  (TS, Xinh, UP)    ","imi","Bosnia & Herzegovina",NA,NA
"31","1994","US troops provide humanitarian assistance in Zaire (Reuters)","imi","Congo - Kinshasa",NA,NA
"32","1994","US provides humanitarian relief in Rwanda (UPI, WP)","imi","Rwanda",NA,NA
"33","1994","US restores democratically elected government in Haiti  (UPI, AP)","imi","Haiti",NA,NA
"34","1994","US build up in Kuwait to respond to Iraqi border build-up (UPI, AP)","imi","Kuwait",NA,NA
"35","1996","Operation Assured Response by US to evacuate 2444 people from Liberia (globalsecurity.org)","imi","Liberia",NA,NA
"36","1996","US evacuates nationals and protects embassy in the Central African Republic (UPI)","imi","Central African Republic",NA,NA
"37","1996","US buildup of troops in Kuwait after Iraq's provocation (SDUT, Reuters)","imi","Kuwait",NA,NA
"38","1997","US evacuates American citizens from Albania (GNL)","imi","Albania",NA,NA
"39","1997","US evacuates civilians from Sierra Leone (DP, Xinh)","imi","Sierra Leone",NA,NA
"40","1997","US evacuates diplomats from Congo (BBN, TN)","imi","Congo - Brazzaville",NA,NA
"41","1998","US evacuates Americans from Eritrea (AP, AFP, UPI)","imi","Eritrea",NA,NA
"42","1998","US gives aid to Papua-New Guinea following tidal wave disaster (FDAD, Canberra)","imi","Papua New Guinea",NA,NA
"43","1998","US Air Force delivers relief to China after devastating flood (M2, Comm)","imi","China",NA,NA
"44","1998","US carries out air strikes against suspected terrorist facilities in Sudan (TNS, PI)","imi","Sudan",NA,NA
"45","1998","US uses cruise missiles to attack suspected terrorist facilities (Xinh, IP, DP)","imi","Afghanistan",NA,NA
"46","1998","US evacuates opposition militia member from Liberia (NYT)","imi","Liberia",NA,NA
"47","2001","US forces attack Taliban positions in Afghanistan (Global Security, TASS)","imi","Afghanistan",NA,NA
"48","2001","US forces patrol and provide security and act as peacekeeping force in Afghanistan (globalsecurity.org)","imi","Afghanistan",NA,NA
"49","2002","US evacuates foreigners in Ivory Coast (AFP, AllAfrica, CW)","imi","Côte d’Ivoire",NA,NA
"50","2003","US topples Iraqi government (DP, AFX, CNN)","imi","Iraq",NA,NA
"51","2003","US send peacekeepers to Liberia (Fed. Info, AFP, DP)","imi","Liberia",NA,NA
"52","2004","US aids in restoring order in Haiti (AP, AFP)","imi","Haiti",NA,NA
"53","2004","US pursues Taliban insurgents into Pakistan (AFP)","imi","Pakistan",NA,NA
"54","2004","US provides tsunami relief to Thailand (AP, BBC)","imi","Thailand",NA,NA
"55","2004","US provides tsunami relief to Indonesia (FT, AFP, Scripps)","imi","Indonesia",NA,NA
"56","2005","US provides tsunami relief to Sri Lanka (AFP, AP)","imi","Sri Lanka",NA,NA
"57","2005","US troops build schools and provide medical aid in Haiti (AP, Navy Newsstand)","imi","Haiti",NA,NA
