coder,wikidata_name,wikidata_id,childof_name,childof_id,realparent,notes
,1989 Philippine coup attempt,Q4585384,NA,NA,,
,1991 Haitian coup d'état,Q4586873,NA,NA,,
Zoe,1993 cruise missile strikes on Iraq,Q5189962,Iraqi no-fly zones,Q899657,0,
,1993 cruise missile strikes on Iraq,Q5189962,Operation Southern Watch,Q2026406,1,
,1993 cruise missile strikes on Iraq,Q5189962,Gulf War,Q13408125,0,Gulf War disambiguation page for Persian Gulf wars
,1995 Pale air strikes,Q48799393,Operation Deny Flight,Q567343,,
,1999 F-117A shootdown,Q335259,NATO bombing of Yugoslavia,Q155723,,
,2001 Sayyd Alma Kalay airstrike,Q4599065,War in Afghanistan,Q182865,,
,2001 uprising in Herat,Q3152953,War in Afghanistan,Q1519107,0,General page for ongoing conflicts in Afghanistan since 1978
Zoe,2001 uprising in Herat,Q3152953,War in Afghanistan,Q182865,1,
Zoe,2003 attack on Karbala,Q4276950,Iraq War,Q545449,0,
,2003 attack on Karbala,Q4276950,2003 invasion of Iraq,Q107802,1,
,2003 invasion of Iraq,Q107802,Iraq War,Q545449,,
,2003 Lejay firefight,Q4601543,Helmand province campaign,Q5709231,,
,2003 Mosul raid,Q65074171,Iraq War,Q545449,,
,2004 Haitian coup d'état,Q2883469,NA,NA,,
Zoe,2007 Helmand Province airstrikes,Q4608594,War in Afghanistan,Q182865,0,
,2007 Helmand Province airstrikes,Q4608594,Helmand province campaign,Q5709231,1,
,2008 Abu Kamal raid,Q553332,Iraq War,Q545449,,
,2009 Baraawe raid,Q10751263,Operation Enduring Freedom – Horn of Africa,Q1195810,,
,2009 Kunduz airstrike,Q1848486,War in Afghanistan,Q182865,,
,2009 Makeen airstrike ,Q4614248,drone attacks in Pakistan,Q1260080,,
,2010 Sangin airstrike,Q7418013,War in Afghanistan,Q182865,,
Zoe,2011 Libyan Civil War,Q81545,Libyan Crisis,Q18702324,1,
,2011 Libyan Civil War,Q81545,Arab Spring,Q33761,0,
Zoe,2011 military intervention in Libya,Q210714,Operation Unified Protector,Q3269455,0,
,2011 military intervention in Libya,Q210714,2011 Libyan Civil War,Q81545,1,
Zoe,2011 NATO attack in Pakistan,Q543279,War in North-West Pakistan,Q179275,0,
Zoe,2011 NATO attack in Pakistan,Q543279,War in Afghanistan,Q182865,0,
,2011 NATO attack in Pakistan,Q543279,Pakistan–United States skirmishes,Q7125993,1,
,2012 Kapisa airstrike,Q4625940,War in Afghanistan,Q182865,,
,2013 raid on Barawe,Q17000965,Operation Enduring Freedom – Horn of Africa,Q1195810,,
Zoe,2013 Syrian Kurdish–Islamist conflict,Q15109939,Syrian Civil War,Q178810,0,
Zoe,2013 Syrian Kurdish–Islamist conflict,Q15109939,Rojava conflict,Q2384201,1,
,2013 Syrian Kurdish–Islamist conflict,Q15109939,Operation Inherent Resolve,Q18357664,0,
,2014 American raid in Libya,Q23022941,Operation Enduring Freedom – Trans Sahara,Q2602154,,
Zoe,2016 Dabiq offensive,Q27185813,Syrian Civil War,Q178810,0,
,2016 Dabiq offensive,Q27185813,Operation Euphrates Shield,Q26690015,1,
Zoe,2016 Sirte offensive,Q24467647,Operation Odyssey Lightning,,0,
Zoe,2016 Sirte offensive,Q24467647,military intervention against ISIL,Q17507684,0,
Zoe,2016 Sirte offensive,Q24467647,military intervention against ISIL,Q17507684,0,
Zoe,2016 Sirte offensive,Q24467647,Libyan civil war (2014–),Q16911838,0,
Zoe,2016 Sirte offensive,Q24467647,Libyan civil war (2014–),Q16911838,0,
,2016 Sirte offensive,Q24467647,American intervention in Libya,Q48731890,1,
,2016 Sirte offensive,Q24467647,American intervention in Libya,Q48731890,0,
Zoe,2017 al-Jinah airstrike,Q28983702,Syrian Civil War,Q178810,0,
,2017 al-Jinah airstrike,Q28983702,American-led intervention in Syria,Q18121212,1,
Zoe,2017 Baghdad–Damascus highway offensive,Q29991963,Syrian Civil War,Q178810,0,
,2017 Baghdad–Damascus highway offensive,Q29991963,Russian military support in the Syrian Civil War,Q21032720,1,
Zoe,2017 Mosul airstrike,Q29524697,Iraqi Civil War (2014–2017),Q17984356,0,
,2017 Mosul airstrike,Q29524697,Battle of Mosul (2016–17),Q27429856,1,
,2017 Nangarhar airstrike,Q29385187,War in Afghanistan,Q182865,,
Zoe,2017 raid on Barii,Q30625807,War on Terror,Q185729,0,
,2017 raid on Barii,Q30625807,War in Somalia (2009–),Q1052332,1,
,2017 Sangin airstrike,Q30323833,War in Afghanistan,Q182865,0,
,2017 Sangin airstrike,Q30323833,Operation Freedom's Sentinel,Q21296923,1,
Zoe,2017 Shayrat missile strike,Q29197866,Syrian Civil War,Q178810,0,
Zoe,2017 Shayrat missile strike,Q29197866,list of United States attacks on Syria during the Syrian Civil War,Q30688615,0,
,2017 Shayrat missile strike,Q29197866,American-led intervention in Syria,Q18121212,1,
Zoe,2017 southern Syria offensive,Q28162889,Syrian Civil War,Q178810,0,
Zoe,2017 southern Syria offensive,Q28162889,military intervention against ISIL,Q17507684,0,
,2017 southern Syria offensive,Q28162889,Islamic Front–Free Syrian Army conflict,Q15303938,1,
Zoe,2018 missile strikes against Syria,Q51844684,Syrian Civil War,Q178810,0,
Zoe,2018 missile strikes against Syria,Q51844684,list of United States attacks on Syria during the Syrian Civil War,Q30688615,0,
Zoe,2018 missile strikes against Syria,Q51844684,foreign involvement in the Syrian civil war,Q5468411,0,
,2018 missile strikes against Syria,Q51844684,American-led intervention in Syria,Q18121212,1,
,2019–2021 Persian Gulf crisis,Q65920364,Iran–Saudi Arabia proxy conflict,Q22948406,1,
,2019–2021 Persian Gulf crisis,Q65920364,Iran–Israel proxy conflict,Q15059994,0,
,2019–2021 Persian Gulf crisis,Q65920364,Gulf War,Q9001214,0,
Zoe,2020 Baghdad International Airport airstrike,Q80754846,American-led intervention in Iraq (2014–present),Q18159629,0,
,2020 Baghdad International Airport airstrike,Q80754846,2019–2021 Persian Gulf crisis,Q65920364,1,
,2020 Baghdad International Airport airstrike,Q80754846,American-led intervention in Iraq (2014–present),Q18159629,0,
,Abyan conflict,Q32634886,Yemeni Civil War (2015–present),Q19686631,,
Zoe,Action of 1 April 2010,Q4677292,piracy off the coast of Somalia,Q214451,0,
Zoe,Action of 1 April 2010,Q4677292,Operation Ocean Shield,Q2001981,1,
,Action of 1 April 2010,Q4677292,Operation Enduring Freedom – Horn of Africa,Q1195810,0,
Zoe,Action of 18 March 2006,Q2984712,piracy off the coast of Somalia,Q214451,0,
,Action of 18 March 2006,Q2984712,Operation Enduring Freedom – Horn of Africa,Q1195810,1,
,Action of 28 October 2007,Q4677332,Operation Enduring Freedom – Horn of Africa,Q1195810,,
,Action of 3 June 2007,Q4677356,Operation Enduring Freedom – Horn of Africa,Q1195810,,
Zoe,Al-Hasakah city offensive (June 2015),Q20241081,Syrian Civil War,Q178810,0,
Zoe,Al-Hasakah city offensive (June 2015),Q20241081,American-led intervention in Syria,Q18121212,0,
,Al-Hasakah city offensive (June 2015),Q20241081,2013 Syrian Kurdish–Islamist conflict,Q15109939,1,
Zoe,Al-Hasakah offensive,Q19428973,Syrian Civil War,Q178810,0,
Zoe,Al-Hasakah offensive,Q19428973,American-led intervention in Syria,Q18121212,0,
,Al-Hasakah offensive,Q19428973,2013 Syrian Kurdish–Islamist conflict,Q15109939,1,
Zoe,Al-Hasakah offensive,Q20050670,Syrian Civil War,Q178810,0,
Zoe,Al-Hasakah offensive,Q20050670,American-led intervention in Syria,Q18121212,0,
Zoe,Al-Hasakah offensive,Q20050670,2013 Syrian Kurdish–Islamist conflict,Q15109939,1,
Zoe,Al-Hawl Offensive (2015),Q21405560,Syrian Civil War,Q178810,0,
,Al-Hawl Offensive (2015),Q21405560,American-led intervention in Syria,Q18121212,1,
Zoe,Al-Karmah offensive (2015),Q19864219,Iraqi Civil War (2014–2017),Q17984356,0,
,Al-Karmah offensive (2015),Q19864219,American-led intervention in Iraq (2014–present),Q18159629,1,
,Al-Qaeda insurgency in Yemen,Q286436,Yemeni Civil War (2015–present),Q19686631,,
Zoe,Al-Shaddadi offensive (2016),Q22894201,Syrian Civil War,Q178810,0,
,Al-Shaddadi offensive (2016),Q22894201,American-led intervention in Syria,Q18121212,1,
Zoe,American airstrikes in Somalia,Q55603824,War in Somalia (2009–),Q1052332,0,
,American airstrikes in Somalia,Q55603824,Operation Enduring Freedom – Horn of Africa,Q1195810,1,
Zoe,American intervention in Libya,Q48731890,military intervention against ISIL,Q17507684,0,
,American intervention in Libya,Q48731890,Libyan civil war (2014–),Q16911838,1,
Zoe,American military intervention in Somalia (2007–present),Q55603824,Somali Civil War,Q243620,0,
,American military intervention in Somalia (2007–present),Q55603824,Operation Enduring Freedom – Horn of Africa,Q1195810,1,
Zoe,American-led intervention in Iraq (2014–present),Q18159629,War on Terror,Q185729,0,
Zoe,American-led intervention in Iraq (2014–present),Q18159629,Operation Inherent Resolve,Q18357664,1,
Zoe,American-led intervention in Iraq (2014–present),Q18159629,military intervention against ISIL,Q17507684,0,
Zoe,American-led intervention in Iraq (2014–present),Q18159629,Iraqi insurgency (2017–present),Q57890365,0,
,American-led intervention in Iraq (2014–present),Q18159629,Iraqi Civil War (2014–2017),Q17984356,0,
Zoe,American-led intervention in Syria,Q18121212,Syrian Civil War,Q178810,1,
Zoe,American-led intervention in Syria,Q18121212,Operation Inherent Resolve,Q18357664,0,
Zoe,American-led intervention in Syria,Q18121212,military intervention against ISIL,Q17507684,0,
,American-led intervention in Syria,Q18121212,foreign involvement in the Syrian civil war,Q5468411,0,
Zoe,Amiriyah shelter bombing,Q2071090,Gulf War air campaign,Q8256467,1,
,Amiriyah shelter bombing,Q2071090,Gulf War,Q37643,0,
Zoe,Anbar campaign (2015–16),Q22935666,Iraqi Civil War (2014–2017),Q17984356,0,
,Anbar campaign (2015–16),Q22935666,American-led intervention in Iraq (2014–present),Q18159629,1,
Zoe,Anbar offensive,Q22935666,Iraqi Civil War (2014–2017),Q17984356,0,
,Anbar offensive,Q22935666,American-led intervention in Iraq (2014–present),Q18159629,1,
,Arab Spring,Q33761,NA,NA,,
,Arab Winter,Q17512479,NA,NA,1,omitted
,Arab–Iranian conflict,Q76327897,Arab Winter,Q17512479,0,re-direct from Iran-Saudi Arabia proxy conflict
,Attack on Bari Alai,Q17182139,War in Afghanistan,Q182865,,
Zoe,Attack on Ras Tanura,Q28162756,Gulf War air campaign,Q8256467,1,
,Attack on Ras Tanura,Q28162756,Gulf War,Q37643,0,
,Azizabad airstrike,Q2909596,War in Afghanistan,Q182865,,
,Baghar China airstrike,Q4841775,War in North-West Pakistan,Q179275,,
Zoe,Banja Luka incident,Q1984410,Operation Deny Flight,Q567343,1,
,Banja Luka incident,Q1984410,Bosnian War,Q181533,0,
,Baraki Barak airstrike,Q4858273,War in Afghanistan,Q182865,,
Zoe,Barisha raid,Q72587856,War on Terror,Q185729,0,
Zoe,Barisha raid,Q72587856,Syrian Civil War,Q178810,0,
Zoe,Barisha raid,Q72587856,spillover of the Syrian Civil War,Q17272643,0,
Zoe,Barisha raid,Q72587856,Operation Inherent Resolve,Q18357664,0,
Zoe,Barisha raid,Q72587856,military intervention against ISIL,Q17507684,0,
,Barisha raid,Q72587856,American-led intervention in Syria,Q18121212,1,
Zoe,Battle for Jalibah Airfield,Q4870165,Liberation of Kuwait campaign,Q6541036,1,
,Battle for Jalibah Airfield,Q4870165,Gulf War,Q37643,0,
Zoe,Battle for Mosul Dam,Q17573637,Northern Iraq offensive,Q17984373,1,
Zoe,Battle for Mosul Dam,Q17573637,Iraqi Civil War (2014–2017),Q17984356,0,
,Battle for Mosul Dam,Q17573637,American-led intervention in Iraq (2014–present),Q18159629,0,
Zoe,Battle of 73 Easting,Q1402530,Operation Desert Storm,NA,0,
Zoe,Battle of 73 Easting,Q1402530,Liberation of Kuwait campaign,Q6541036,1,
,Battle of 73 Easting,Q1402530,Gulf War,Q37643,0,
,Battle of Abu Ghraib,Q4870210,Iraqi insurgency,Q926905,,
Zoe,Battle of Ad-Dawrah,Q4870215,Operation Desert Shield,NA,0,
,Battle of Ad-Dawrah,Q4870215,Gulf War,Q37643,0,
,Battle of Ad-Dawrah,Q4870215,Liberation of Kuwait campaign,Q6541036,1,
,Battle of Afghanya,Q4870218,War in Afghanistan,Q182865,,
Zoe,Battle of Al Busayyah,Q3636316,Operation Desert Storm,NA,0,
Zoe,Battle of Al Busayyah,Q3636316,Liberation of Kuwait campaign,Q6541036,1,
,Battle of Al Busayyah,Q3636316,Gulf War,Q37643,0,
,Battle of Al Faw (2003),Q1930510,2003 invasion of Iraq,Q107802,,
Zoe,Battle of Al Kut,Q4870238,Iraq War,Q545449,0,
,Battle of Al Kut,Q4870238,Iraq spring fighting of 2004,Q6067924,1,
,Battle of Al Kut (2003),Q18639484,2003 invasion of Iraq,Q107802,,
Zoe,Battle of Al Mukalla (2016),Q23935847,Yemeni Civil War (2015–present),Q19686631,0,
,Battle of Al Mukalla (2016),Q23935847,Saudi Arabian-led intervention in Yemen,Q19682450,1,
Zoe,Battle of al-Bab,Q27915277,Syrian Civil War,Q178810,0,
,Battle of al-Bab,Q27915277,Operation Euphrates Shield,Q26690015,1,
,Battle of al-Hasakah (2016),Q26413779,Syrian Civil War,Q178810,,
,Battle of Al-Qa'im,Q1975663,Iraq War,Q545449,,
,Battle of Alasay,Q385546,War in Afghanistan,Q182865,,
,Battle of Baghdad,Q97304250,Sectarian violence in Iraq (2006–2008),Q17183365,0,
Matt,Battle of Baghdad,Q97304250,Iraqi insurgency,Q926905,1,
,Battle of Baghdad (2003),Q1804983,2003 invasion of Iraq,Q107802,,
Zoe,Battle of Baghuz Fawqani,Q61843818,Syrian Civil War,Q178810,0,
Zoe,Battle of Baghuz Fawqani,Q61843818,Deir ez-Zor offensive,Q39899474,1,
Zoe,Battle of Baghuz Fawqani,Q61843818,American-led intervention in Syria,Q18121212,0,
,Battle of Baghuz Fawqani,Q61843818,2013 Syrian Kurdish–Islamist conflict,Q15109939,0,
Zoe,Battle of Baiji (2014–15),Q17621839,Salahuddin campaign,Q19574810,1,
Zoe,Battle of Baiji (2014–15),Q17621839,military intervention against ISIL,Q17507684,0,
,Battle of Baiji (2014–15),Q17621839,Iraqi Civil War (2014–2017),Q17984356,0,
Zoe,Battle of Baiji (October–November 2014),Q19799151,Salahuddin campaign,Q19574810,1,
Zoe,Battle of Baiji (October–November 2014),Q19799151,military intervention against ISIL,Q17507684,0,
,Battle of Baiji (October–November 2014),Q19799151,Iraqi Civil War (2014–2017),Q17984356,0,
Zoe,Battle of Baqubah,Q2237337,Operation Phantom Thunder,Q2026272,0,
Zoe,Battle of Baqubah,Q2237337,Operation Arrowhead Ripper,NA,0,
Zoe,Battle of Baqubah,Q2237337,Iraq War,Q545449,0,
,Battle of Baqubah,Q2237337,Diyala campaign,Q2935362,1,
,Battle of Barawala Kalay Valley,Q24905428,War in Afghanistan,Q182865,,
Zoe,Battle of Bargal (2007),Q4870424,War in Somalia (2006-2009),Q1072042,0,
,Battle of Bargal (2007),Q4870424,Operation Enduring Freedom – Horn of Africa,Q1195810,1,
Zoe,Battle of Basra (2003),Q2585300,Iraq War,Q545449,0,
,Battle of Basra (2003),Q2585300,2003 invasion of Iraq,Q107802,1,
Zoe,Battle of Basra (2008),Q2888122,Sectarian violence in Iraq (2006–2008),Q17183365,0,
Zoe,Battle of Basra (2008),Q2888122,Iraq War,Q545449,0,
,Battle of Basra (2008),Q2888122,Iraq spring fighting of 2008,Q6067932,0,
,Battle of Basra (2008),Q2888122,Siege of Sadr City,Q3486016,1,
,Battle of BIAP (2004),Q18639119,Iraq War,Q545449,,
,Battle of Boz Qandahari,Q28223860,War in Afghanistan,Q182865,0,
,Battle of Boz Qandahari,Q28223860,Operation Freedom's Sentinel,Q21296923,1,
Zoe,Battle of Bubiyan,Q4870581,Operation Desert Shield,NA,0,
,Battle of Bubiyan,Q4870581,Gulf War,Q37643,1,
,Battle of Chora,Q1485258,War in Afghanistan,Q182865,,
,Battle of Dahaneh,Q2888379,Helmand province campaign,Q5709231,0,
,Battle of Dahaneh,Q2888379,Battle of Now Zad,Q4871922,1,
,Battle of Debecka Pass,Q4870854,2003 invasion of Iraq,Q107802,,
Zoe,Battle of Diwaniya,Q4870879,Iraq War,Q545449,1,
,Battle of Diwaniya,Q4870879,History of Iraq (2003–11),Q6722016,0,
,Battle of Do Ab,Q4870881,War in Afghanistan,Q182865,,
,Battle of Donkey Island,Q4870899,Iraq War,Q545449,,
Zoe,Battle of Ebrahimkhel,Q4870947,War in Afghanistan,Q182865,1,
,Battle of Ebrahimkhel,Q4870947,Eastern Afghanistan,,0,
Zoe,Battle of Fallujah (2016),Q24205448,Iraqi Civil War (2014–2017),Q17984356,0,
Zoe,Battle of Fallujah (2016),Q24205448,Anbar offensive,Q22935666,0,
,Battle of Fallujah (2016),Q24205448,Anbar campaign (2015–16),Q22935666,1,
,Battle of Firebase Anaconda,Q281145,War in Afghanistan,Q182865,,
,Battle of Ganjgal,Q4871076,War in Afghanistan,Q182865,,
,Battle of Garmsir,Q4871080,Helmand province campaign,Q5709231,,
Zoe,Battle of Haditha,Q4871173,Operation Sayeed,Q7097502,1,
,Battle of Haditha,Q4871173,Iraq War,Q545449,0,
,Battle of Haditha Dam,Q40889886,2003 invasion of Iraq,Q107802,,
,Battle of Haifa Street,Q4871175,Iraq War,Q545449,,
,Battle of Hillah (2003),Q18712789,2003 invasion of Iraq,Q107802,,
Zoe,Battle of Hit (2016),Q23403028,Iraqi Civil War (2014–2017),Q17984356,0,
Zoe,Battle of Hit (2016),Q23403028,Anbar offensive,Q22935666,0,
Zoe,Battle of Hit (2016),Q23403028,Anbar campaign (2015–16),Q22935666,1,
,Battle of Hit (2016),Q23403028,American-led intervention in Iraq (2014–present),Q18159629,0,
Zoe,Battle of Husaybah (2004),Q4871257,Iraq War,Q545449,0,
,Battle of Husaybah (2004),Q4871257,Iraq spring fighting of 2004,Q6067924,1,
