year,month,ICB_crisno,ICB_cracno,ICB_cracid,ICB_actor,ICB_crisname,ICB_cenvio,ICB_sevvio,ICB_trigym,ICB_termym,ICB_totaldura,ICB_dura,outcom_victory,outcom_compromise,outcom_stalemate,outcom_defeat,satisfy_all,satisfy_usonly,satisfy_enemyonly,satisfy_none,satisfy_us,nonsatisfy_us,yearmonth,presidentid,approve,disapprove,confidence,difference,approveL1,approve_detrend,appch,appchpc,disappch,disappchpc,demparty,term2,misery,miseryL1,elecmonth,electermid,elecyear,reelecyear,tenure,firstyear,partisan_conflict_monthly
1989,1,386,833,2,USA,LIBYAN JETS,4,2,1988m12,1989m1,2,2,1,0,0,0,1,0,0,0,1,0,198901,George Bush,51,6,89.473686,45,,-11.992316,,,,,0,0,10.067245,9.7194099,0,53,0,0,1,1,82.129997
1989,2,,,,,,,,,,,,0,,,,,,,,0,0,198902,George Bush,61,12,83.561646,49,51,-1.9698176,10,19.607843,6,100,0,0,10.027584,10.067245,0,53,0,0,2,1,77.559998
1989,3,,,,,,,,,,,,0,,,,,,,,0,0,198903,George Bush,59,15.5,79.194633,43.5,61,-3.9473193,-2,-3.2786884,3.5,29.166666,0,0,9.9785433,10.027584,0,53,0,0,3,1,82.790001
1989,4,,,,,,,,,,,,0,,,,,,,,0,0,198904,George Bush,55.5,16.5,77.083336,39,59,-7.4248209,-3.5,-5.9322033,1,6.4516129,0,0,10.323826,9.9785433,0,53,0,0,4,1,82.25
1989,5,,,,,,,,,,,,0,,,,,,,,0,0,198905,George Bush,58.400002,20.4,74.111679,38,55.5,-4.5023208,2.9000015,5.2252278,3.8999996,23.636362,0,0,10.561705,10.323826,0,53,0,0,5,1,92.199997
1989,6,,,,,,,,,,,,0,,,,,,,,0,0,198906,George Bush,64.666664,16,80.165291,48.666664,58.400002,1.7868401,6.2666626,10.730586,-4.3999996,-21.568626,0,0,10.46949,10.561705,0,53,0,0,6,1,95.57
1989,7,,,,,,,,,,,,0,,,,,,,,0,0,198907,George Bush,66,18,78.571426,48,64.666664,3.1426744,1.3333359,2.0618596,2,12.5,0,0,10.178904,10.46949,0,53,0,0,7,1,97.25
1989,8,,,,,,,,,,,,0,,,,,,,,0,0,198908,George Bush,64.333336,18.666666,77.51004,45.666672,66,1.4985086,-1.6666641,-2.5252488,0.66666603,3.7037001,0,0,9.9058809,10.178904,0,53,0,0,8,1,68.830002
1989,9,,,,,,,,,,,,0,,,,,,,,0,0,198909,George Bush,67.5,17,79.88166,50.5,64.333336,4.6876712,3.1666641,4.9222755,-1.666666,-8.9285679,0,0,9.6405649,9.9058809,0,53,0,0,9,1,87.459999
1989,10,,,,,,,,,,,,0,,,,,,,,0,0,198910,George Bush,64,19.666666,76.494026,44.333336,67.5,1.2101696,-3.5,-5.185185,2.666666,15.686271,0,0,9.7925138,9.6405649,0,53,0,0,10,1,98.82
