triggr,aptrig,airpower,icb2,cracno,cracid,systrgmo,systrgda,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,yrtrig,motrig,datrig,trigent,trigloc,southv,southpow,sizedu,strcdu,comlev,majres,yerres,monres,dayres,trgresra,crismg,cenvio,sevvio,usinv,usfavr,suinv,sufavr,gbinv,gbfavr,frinv,frfavr,itinv,itfavr,grinv,grfavr,jpinv,jpfavr,globorg,globact,globfavr,regorg,regact,rofavr,outcom,outfor,outevl,outesr,yrterm,moterm,daterm,trgterra,resterra,actloc,geog,cractloc,noactr,stainsys,period,syslev,pc,pcid,viol,iwc,powdis,powscore,gpinv,powinv,age,territ,regime,durreg,allycap,globmemb,nucler,powsta,issue,chissu,gravty,pethin,col,unemp,inflat,foodpr,labstr,short,econdt,regrep,socunr,massvl,gvinst,sourdt,ccode,year,majpow,logcap,milissue,polissue,econissue,gravty2,violence,violence2,democ,jointdem,crisno,actor,systrgyr,cap,polity2,majpowinv,instability,unrest,demgravity,polgravity,massviol,coldwar,unem2,powerdistr,econstatus,higravty,higravty2,othrfrce,logravty2,logravty3,cap2a,majpow2a,polity2a,milper,milex,energy,irst,upop,tpop,logengy,countryname,countrycode,iso2code,WBgdp,loggdp,logcap2a,logmilex,protrac,dem6,powscore2,time1,time2,time3,time4,airforce,airpossible,outcome,sanct,sanctongoing,econpress,sanctout,anysanct,sanctout2,capdem,cappol,powpol,out2
9,0,0,ICB2,1,365,5,99,RUSS,IAN,CIVI,L WA,R I,,1918,5,99,996,2,220,3,1,1,7,8,1918,5,28,14,8,4,3,7,3,9,8,7,9,2,9,1,9,1,9,7,9,1,1,1,0,0,0,1,6,2,1,1920,4,1,686,673,30,9,1,7,47,1,2,2,27,3,1,999,999,7,1,1,3,2,1,4,4,1,3,1,4,2,0,1,9,1,1,1,1,1,9,1,1,1,3,365,1918,0,-3.285951,1,0,0,2,1,1,0,0,1,RUS,1918,0.037405,-1,0,1,1,0,-2,1,0,,,1,0,0,0,0,1,0.037405,0,-1,,258741,18041,402,4983,143450,9.800403,,,,,,-3.285951,12.46358,1,0,,1918,0,0,0,1912,1,0,0,0,0,0,0,,0,-0.037405,,0
7,0,0,ICB2,2,93,5,25,COST,A RI,CAN,COUP,,,1918,5,25,94,1,94,1,9,1,1,3,1918,5,30,6,4,1,1,7,1,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,5,1,4,2,2,1918,12,15,205,199,42,42,1,5,47,1,1,2,6,1,1,1,1,4,1,3,1,2,2,2,4,1,1,1,6,1,0,9,9,1,9,9,9,9,1,9,1,2,2,93,1918,0,-9.097012,1,0,0,1,0,0,0,0,2,NIC,1918,0.000112,-3,0,2,,0,-3,1,0,,1,,0,0,0,1,1,0.000112,0,-3,2,,0,0,0,621,,,,,,,-9.097012,,1,0,1,1918,0,0,0,1938,0,0,0,0,0,0,0,0,0,-0.000336,-3,0
4,0,0,ICB2,3,94,5,25,COST,A RI,CAN,COUP,,,1919,1,25,996,2,93,1,9,9,1,6,1919,1,28,4,4,1,1,7,3,1,5,1,5,1,5,1,5,1,5,1,5,1,1,1,1,1,5,4,4,3,2,1919,9,3,222,218,42,42,1,6,49,1,1,2,6,2,1,-1,-1,4,1,3,1,2,1,1,4,1,1,1,6,2,0,9,9,1,9,9,9,9,1,9,1,9,2,94,1918,,,1,0,0,2,0,0,,0,2,COS,1918,,,0,,,,,1,0,,-1,,0,0,0,0,1,,,,,,,,,,,,,,,,,,1,,-1,1918,0,0,0,,0,0,0,0,0,0,0,0,,,,0
7,0,0,ICB2,4,365,6,23,RUSS,IAN,CIVI,L WA,R II,,1918,6,23,997,1,200,3,1,1,7,8,1918,7,1,9,8,4,3,3,3,9,8,8,9,8,9,1,9,1,9,1,9,1,1,1,0,0,0,1,6,2,1,1919,9,27,462,453,30,31,1,5,47,1,2,2,27,3,1,999,999,7,1,1,3,2,1,4,4,1,3,1,4,2,0,1,9,1,1,1,1,1,9,1,1,1,3,365,1918,0,-3.285951,1,0,0,2,1,1,0,0,3,RUS,1918,0.037405,-1,0,1,1,0,-2,1,0,,,1,0,0,0,0,1,0.037405,0,-1,,258741,18041,402,4983,143450,9.800403,,,,,,-3.285951,12.46358,1,0,,1918,0,0,0,1912,1,0,0,0,0,0,0,,0,-0.037405,,0
6,0,0,ICB2,5,365,11,18,BALT,IC I,NDEP,ENDE,NCE,,1918,11,18,366,1,366,1,1,1,8,8,1918,11,22,5,8,4,3,3,3,9,8,3,9,3,9,1,9,8,9,1,9,1,1,1,0,0,0,4,9,3,2,1920,8,11,632,627,30,31,1,8,47,1,2,1,0,3,1,12,12,7,1,1,3,2,1,4,4,1,3,2,6,3,0,1,9,1,1,1,1,1,9,1,1,1,3,365,1918,0,-3.285951,0,1,0,3,1,1,0,0,4,RUS,1918,0.037405,-1,0,1,1,0,-3,1,0,,12,1,1,0,0,0,0,0.037405,0,-1,,258741,18041,402,4983,143450,9.800403,,,,,,-3.285951,12.46358,0,0,12,1918,0,0,0,1912,1,0,0,0,0,0,0,,0,-0.037405,-12,0
9,0,0,ICB2,6,366,11,18,BALT,IC I,NDEP,ENDE,NCE,,1918,11,22,365,1,365,3,9,1,8,9,1918,11,22,1,8,4,3,3,1,8,3,6,9,1,9,1,9,1,9,1,9,1,1,1,0,0,0,1,8,2,2,1920,2,2,438,438,31,31,2,8,47,1,1,1,0,3,1,-12,-12,7,1,3,1,2,1,2,4,1,1,2,6,6,0,4,4,4,4,4,4,4,4,4,4,4,3,366,1918,0,-7.333933,0,1,0,6,1,1,,0,4,EST,1918,0.000653,,0,,,,,4,0,4,-12,,1,1,0,0,0,0.000653,0,,16,3541,1657,0,127,1103,7.412764,,,,,,-7.333933,8.172165,0,,-12,1918,0,0,0,1919,0,0,0,0,0,0,0,,,,,0
9,0,0,ICB2,7,368,11,18,BALT,IC I,NDEP,ENDE,NCE,,1918,12,99,365,1,365,3,9,1,8,9,1918,12,99,9999,8,4,3,3,1,8,3,3,9,3,9,1,9,1,9,1,9,1,1,1,0,0,0,1,8,2,2,1920,7,12,574,574,31,31,2,8,47,1,1,1,0,3,1,-12,-12,7,1,3,1,2,1,2,4,1,1,2,6,6,0,4,4,4,4,4,4,4,4,4,4,4,3,368,1918,0,-7.006471,0,1,0,6,1,1,0,0,4,LIT,1918,0.000906,4,0,,,0,24,4,0,4,-12,,1,1,0,0,0,0.000906,0,4,42,6541,3048,0,0,2029,8.022241,,,,,,-7.006471,8.785846,0,0,-12,1918,0,0,0,1932,0,0,0,0,0,0,0,,0,0.003624,-48,0
9,0,0,ICB2,8,367,11,18,BALT,IC I,NDEP,ENDE,NCE,,1918,12,99,365,1,365,3,9,1,8,9,1918,12,99,9999,8,4,3,3,1,8,3,3,9,3,9,3,9,8,9,1,9,1,1,1,0,0,0,1,8,2,2,1920,8,11,603,603,31,31,2,8,47,1,1,1,0,3,1,-12,-12,7,1,3,1,2,1,2,4,1,1,2,6,6,0,4,4,4,4,4,4,4,4,4,4,4,3,367,1918,0,-6.888934,0,1,0,6,1,1,,0,4,LAT,1918,0.001019,,0,,,,,4,0,4,-12,,1,1,0,0,0,0.001018,0,,19,4419,2398,0,248,1596,7.78239,,,,,,-6.889915,8.393669,0,,-12,1918,0,0,0,1919,0,0,0,0,0,0,0,,,,,0
2,0,0,ICB2,9,315,1,15,TESC,HEN,,,,,1919,1,15,290,1,290,2,9,1,3,8,1919,1,23,9,8,4,3,3,3,1,5,3,3,3,3,3,3,1,9,3,3,1,1,1,0,0,0,2,9,4,2,1920,7,28,560,551,32,31,1,3,49,1,1,1,0,3,1,-1,-1,3,1,3,1,1,1,1,4,1,1,1,6,3,0,4,4,4,4,4,4,4,4,4,4,4,3,315,1919,0,-4.546524,1,0,0,3,1,1,1,1,5,CZE,1919,0.010604,7,0,,,3,21,4,0,4,-1,,1,0,0,0,0,0.010604,0,7,150,21741,20823,786,929,13398,9.943813,,,,,,-4.546524,9.986955,0,1,-1,1919,0,0,0,1918,1,0,0,0,0,0,0,,0.010604,0.074228,-7,0
7,0,0,ICB2,10,290,1,15,TESC,HEN,,,,,1919,1,23,315,1,315,1,9,1,3,8,1919,1,23,1,8,4,3,3,3,1,5,3,3,3,3,3,3,1,9,3,3,1,1,1,0,0,0,2,9,4,2,1920,7,28,552,552,31,31,1,3,49,1,1,1,0,3,1,1,1,3,1,3,2,4,1,1,4,1,2,1,6,3,0,4,4,4,4,4,4,4,4,4,4,4,3,290,1919,0,-3.973739,1,0,0,3,1,1,1,1,5,POL,1919,0.018803,8,0,,,3,24,4,0,4,1,,1,0,0,0,0,0.018802,0,8,300,,31854,515,1669,24157,10.36892,,,,,,-3.973792,,0,1,1,1919,0,0,0,1918,1,0,0,0,0,0,0,,0.018802,0.150416,8,0
