President,start_date,end_date,approving,disapproving,unsure
Bush,01/24/1989,01/26/1989,51,6,43
Bush,02/24/1989,02/27/1989,60,11,27
Bush,02/28/1989,03/02/1989,62,13,24
Bush,03/09/1989,03/10/1989,62,15,22
Bush,03/10/1989,03/13/1989,56,16,27
Bush,04/07/1989,04/10/1989,54,18,27
Bush,04/10/1989,04/16/1989,57,15,26
Bush,05/04/1989,05/07/1989,56,22,22
Bush,05/05/1989,05/08/1989,58,18,23
Bush,05/05/1989,05/05/1989,55,23,20
Bush,05/12/1989,05/12/1989,61,22,16
Bush,05/15/1989,05/18/1989,62,17,19
Bush,06/01/1989,06/02/1989,62,18,19
Bush,06/08/1989,06/11/1989,69,14,16
Bush,06/09/1989,06/22/1989,63,16,20
Bush,07/06/1989,07/09/1989,66,18,15
Bush,08/08/1989,08/20/1989,60,20,19
Bush,08/10/1989,08/13/1989,69,18,12
Bush,08/15/1989,08/27/1989,64,18,17
Bush,09/07/1989,09/10/1989,69,16,13
Bush,09/22/1989,10/01/1989,66,18,14
Bush,10/05/1989,10/08/1989,67,20,12
Bush,10/05/1989,10/06/1989,66,17,15
Bush,10/13/1989,10/23/1989,59,22,17
Bush,11/09/1989,11/12/1989,69,17,13
Bush,11/10/1989,11/25/1989,63,22,14
Bush,12/07/1989,12/10/1989,71,20,8
Bush,12/08/1989,01/08/1990,66,15,17
Bush,01/04/1990,01/07/1990,79,10,9
Bush,02/08/1990,02/11/1990,73,16,10
Bush,02/09/1990,03/11/1990,72,15,11
Bush,02/15/1990,02/18/1990,73,15,11
Bush,03/08/1990,03/11/1990,68,18,13
Bush,03/16/1990,03/29/1990,73,18,8
Bush,04/05/1990,04/08/1990,67,16,16
Bush,04/06/1990,04/18/1990,71,15,13
Bush,05/04/1990,05/22/1990,65,20,13
Bush,05/04/1990,05/22/1990,67,19,13
Bush,06/14/1990,06/17/1990,69,16,14
Bush,07/05/1990,07/08/1990,63,24,12
Bush,07/07/1990,07/15/1990,59,24,15
Bush,07/12/1990,07/13/1990,64,26,9
Bush,07/19/1990,07/22/1990,60,25,14
Bush,07/20/1990,08/12/1990,61,26,12
Bush,08/09/1990,08/12/1990,74,15,10
Bush,08/09/1990,08/10/1990,75,15,9
Bush,08/10/1990,08/26/1990,68,20,11
Bush,08/16/1990,08/19/1990,74,16,8
Bush,08/23/1990,08/26/1990,75,16,7
Bush,08/23/1990,08/24/1990,73,16,10
Bush,08/30/1990,09/02/1990,74,17,8
Bush,09/10/1990,09/11/1990,76,15,7
Bush,09/11/1990,09/12/1990,54,34,11
Bush,09/14/1990,09/16/1990,73,16,9
Bush,09/21/1990,10/09/1990,66,22,11
Bush,09/27/1990,09/30/1990,67,19,12
Bush,10/03/1990,10/04/1990,65,25,9
Bush,10/11/1990,10/14/1990,56,33,10
Bush,10/18/1990,10/21/1990,52,36,10
Bush,10/18/1990,10/19/1990,56,32,10
Bush,10/25/1990,10/28/1990,54,35,10
Bush,11/08/1990,11/11/1990,57,33,8
Bush,11/09/1990,11/25/1990,51,36,12
Bush,11/15/1990,11/18/1990,54,32,13
Bush,11/15/1990,11/16/1990,58,32,8
Bush,11/29/1990,12/02/1990,60,29,10
Bush,12/06/1990,12/09/1990,57,33,9
Bush,12/06/1990,12/07/1990,62,27,9
Bush,12/07/1990,12/23/1990,62,27,10
Bush,12/13/1990,12/16/1990,62,30,6
Bush,01/03/1991,01/06/1991,58,30,10
Bush,01/10/1991,01/11/1991,64,26,9
Bush,01/11/1991,01/13/1991,64,24,10
Bush,01/17/1991,01/20/1991,82,11,5
Bush,01/17/1991,01/18/1991,82,12,4
Bush,01/19/1991,01/22/1991,79,14,5
Bush,01/23/1991,01/26/1991,82,12,4
Bush,01/24/1991,01/25/1991,86,9,4
Bush,01/26/1991,02/07/1991,74,18,7
Bush,02/07/1991,02/10/1991,78,17,3
